,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc,open,high,low,close,vol,dji_cr,dji_f_cr,ixic_cr,ixic_f_cr,spx_cr,spx_f_cr,bond_kor_10_cr,bond_kor_2_cr,dxy_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,kosdaq_cr,kospi_cr,krw_cr,sox_cr,vix_cr,wti_cr,weekday,value,close_cr_5,r_open_high_5,close_cr_1,r_open_high_1
2022-09-01,0.9028361344537815,4.711947626841244,-5.255380200860833,1.1208277703604805,-2.156405990016639,0.08308248043347381,6.269662921348314,2.5,-11.083333333333334,1.0,11.516129032258064,-1.1764705882352942,-0.008403361344537815,0.015256588072122053,-0.005649717514124294,0.02092050209205021,2.302539667854004,0.46,0.42,-0.26,0.06,0.3,0.31,1.39,2.41,0.93,1.96,0.65,0.78,-2.32,-2.28,1.09,-1.92,-1.2,-3.28,2,0,0,1,0,1
2022-09-02,-8.454043610267734,-3.0382521489971346,3.3550236008091705,1.4932326093799182,1.1179856115107913,-1.0516953863257366,2.633693972179289,-1.0,3.458677685950413,-1.0,-0.9175257731958762,-57.333333333333336,0.014124293785310734,-0.00546448087431694,-0.008522727272727272,-0.04644808743169399,-0.20013727220517993,-1.07,-1.11,-1.31,-1.53,-1.07,-1.11,-1.42,-3.04,-0.14,-1.96,-3.48,-1.52,-0.31,-0.26,0.39,-1.02,-0.35,0.3,3,0,0,0,0,0
2022-09-07,54.74285714285714,-0.11902193455591514,-0.8643754619364376,-1.0400106695118698,-1.275462962962963,-0.1650485436893204,12.466666666666667,1.0,-4.2463235294117645,1.0,64.0,-0.9736842105263158,0.0,-0.00851063829787234,-0.004341534008683068,-0.0028776978417266188,-0.2355802164680093,1.39,1.32,2.14,2.03,1.83,1.78,0.7,0.16,-0.32,-2.5,-1.94,3.82,-1.45,-1.39,0.0,1.56,-8.44,-5.69,1,0,0,0,0,0
2022-09-08,0.566888774987186,1.483265306122449,6.5340599455040875,-18.726666666666667,9.647058823529411,0.4108527131782946,0.007425742574257425,-1.0,-1.4416761041902604,-1.0,0.823076923076923,24.0,-0.01293103448275862,-0.01430615164520744,-0.01744186046511628,-0.011544011544011544,1.0735280939152254,0.61,0.6,0.6,0.48,0.66,0.64,-3.05,-4.0,-0.1,1.7,2.11,-0.59,1.25,0.33,0.54,1.79,-4.18,1.95,2,0,1,1,1,1
2022-09-15,-0.9245457345241762,-1.827966881324747,-1.0995359352689196,-1.2816197300449925,-0.8327922077922078,-2.1450206516750803,-1.1438527519656898,1.0,-2.1910828025477707,-1.0,-0.937888198757764,-0.7922077922077922,-0.007082152974504249,-0.008310249307479225,-0.007082152974504249,-0.016666666666666666,-0.4889385399211226,-0.56,-0.56,-1.43,-1.71,-1.13,-1.15,3.64,2.09,0.07,1.31,1.96,-0.81,-0.2,-0.4,0.53,-1.62,0.42,-3.82,2,0,1,1,1,1
2022-09-16,4.522448979591837,0.9255555555555556,-1.2361028093245667,-0.015976331360946745,1.3203883495145632,-0.7735470941883767,-3.915527950310559,-1.0,-3.090909090909091,2.388888888888889,4.766666666666667,-0.4375,0.009985734664764621,0.0111731843575419,0.0042796005706134095,0.011299435028248588,0.05812605570827675,-0.45,-1.06,-0.9,-1.01,-0.72,-0.79,-0.5,1.0,0.05,0.19,0.23,-0.6,-1.45,-0.79,-0.98,0.53,0.11,0.01,3,0,1,1,1,1
2022-09-19,-1.1945676274944568,-0.5826120407770725,-8.731645569620254,-0.06494287432351173,-2.00836820083682,-0.8707964601769912,-0.7933532168726033,-1.0,-0.989769820971867,-0.8360655737704918,-0.017341040462427744,-1.0,0.00423728813559322,-0.006906077348066298,0.005681818181818182,0.002793296089385475,0.33642168523851257,0.64,1.54,0.76,1.77,0.69,1.19,0.77,0.29,-0.16,1.13,1.94,-1.23,-2.35,-1.14,0.38,0.58,-2.05,0.73,4,0,1,1,1,0
2022-09-20,-3.7730294396961064,2.509677419354839,0.5160445317616241,-0.3247588424437299,0.2033195020746888,-26.972602739726028,-1.202061855670103,-3.5714285714285716,10.0,2.6,-0.5176470588235295,1.0,0.011251758087201125,0.005563282336578581,0.009887005649717515,0.005571030640668524,-0.2830710136780963,-1.01,-1.02,-0.95,-0.85,-1.13,-1.14,0.55,1.09,0.56,2.13,0.62,7.03,1.12,0.52,0.17,-1.49,5.43,-1.49,0,0,1,1,1,1
2022-09-21,1.6202054794520548,-0.5718224789915967,-2.1138228941684667,-2.117142857142857,-0.75,-2.809071729957806,-5.081632653061225,-1.0,-20.454545454545453,-0.5,7.987804878048781,-2.8125,0.005563282336578581,0.015214384508990318,0.009790209790209791,0.012465373961218837,0.7918980725253185,-1.7,-1.69,-1.79,-1.78,-1.71,-1.72,2.17,1.45,0.37,-0.98,2.23,-1.67,-0.72,-0.87,0.37,-0.97,3.06,-1.79,1,0,0,1,0,1
2022-09-27,-1.5160362130675837,-1.9305434696622104,2.524400684931507,57.365269461077844,-0.43099273607748184,0.5769682726204466,-19.107142857142858,1.0,-1.4416306361951823,-1.0,4.478510028653295,-1.0689655172413792,0.012396694214876033,-0.0040595399188092015,-0.018105849582172703,-0.04330175913396482,0.27921102066374454,-0.44,-0.48,0.25,0.15,-0.21,-0.25,-2.23,-3.29,0.02,0.53,-1.33,1.71,0.83,0.13,-0.27,1.04,1.05,2.33,0,0,0,1,0,0
