,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc,open,high,low,close,vol,dji_cr,dji_f_cr,ixic_cr,ixic_f_cr,spx_cr,spx_f_cr,bond_kor_10_cr,bond_kor_2_cr,dxy_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,kosdaq_cr,kospi_cr,krw_cr,sox_cr,vix_cr,wti_cr,weekday,value,close_cr,r_open_high
2022-10-17,-0.6346947194719472,-0.1648033126293996,-1.087636143606293,0.5544147843942505,-11.52317880794702,-0.6398274622573688,-2.2573082489146166,-5.972972972972973,1.6495098039215685,1.0,-0.40860215053763443,-3.0,-0.0029850746268656717,0.0,0.00303951367781155,0.015197568389057751,-0.043047658972410724,1.84,1.76,3.43,3.41,2.65,2.55,0.48,1.42,-1.14,0.26,-0.7,0.34,0.55,0.32,-0.68,2.28,-2.03,-0.18,4,3,0,1
2022-10-18,0.04107848673066064,-2.731903817550818,-24.622554660529342,-4.15301629238221,2.1113908118313405,0.5755156353958749,0.22951197053407,-0.47282608695652173,-0.4372494603761949,7.833333333333333,0.7272727272727273,-253.5,-0.005988023952095809,0.002976190476190476,-0.006060606060606061,0.0,0.011134231372978498,1.12,1.14,0.9,0.8,1.14,1.18,1.76,-0.02,0.08,-0.15,-0.42,4.07,2.21,1.36,-0.4,0.42,-2.77,-3.09,0,1,1,0
2022-10-19,3.2985762711864406,1.6471051313246976,2.3331547155105223,0.08344389358285036,1.0865695792880259,6.030616554054054,-1.4969106908818572,0.28865979381443296,2.5523287671232877,-1.6037735849056605,-1.7842105263157895,-0.8831683168316832,0.02710843373493976,0.017804154302670624,0.006097560975609756,0.005988023952095809,0.9551140876597588,-0.33,-0.38,-0.85,-0.41,-0.67,-0.68,2.43,2.18,0.79,3.27,2.93,1.58,-0.94,-0.56,0.69,0.76,0.85,3.3,1,2,0,1
2022-10-20,-2.0509431581603685,-0.9367362387801449,-1.4381421451850986,-2.2366589327146174,-1.561167119038387,-0.7555635642850708,-6.080633006782215,-2.056,-0.9258059540336264,-1.1875,-7.3355704697986575,-1.4576271186440677,-0.026392961876832845,0.0058309037900874635,0.006060606060606061,0.0,-0.13027962568844612,-0.3,-0.35,-0.61,-0.56,-0.8,-0.86,0.85,-0.12,-0.05,2.29,1.13,0.13,-1.47,-0.86,-0.33,0.69,-2.54,0.5,2,3,1,0
2022-10-21,-1.2236695981030705,2.5863247863247865,-1.5341405650622102,-1.3451115280383572,-1.275522542753498,-0.2647745423270672,-1.1636013052506675,-1.0,-1.8586278586278586,-4.0,-0.8273305084745762,-0.8888888888888888,0.015060240963855422,-0.017391304347826087,0.0030120481927710845,0.002976190476190476,-0.3832826408904884,2.47,2.54,2.31,2.41,2.37,2.41,5.44,4.15,-0.74,-0.32,-2.8,-0.22,-0.88,-0.22,-0.13,3.7,-0.97,-1.08,3,4,0,0
2022-10-25,3.40349253362952,0.8365665018384684,60.25525946704067,-2.8284313725490198,21.048780487804876,5.221091205211726,92.38805970149254,-1.0,4.62962962962963,-1.0,3.5543478260869565,4.0,0.0,0.0,-0.02416918429003021,-0.03293413173652695,1.0411992762987852,1.07,1.05,2.25,2.05,1.63,1.6,-2.23,-1.69,-0.96,-3.45,-0.8,1.14,0.05,-0.05,-1.23,2.26,-4.66,0.87,0,3,1,0
2022-10-26,-0.5937110267225313,-1.0020020711080428,-0.4716657126502576,-3.002680965147453,-0.23402163225172073,0.07703383729301656,-0.5260508230781524,-1.4194915254237288,0.8701754385964913,-0.9973614775725593,-5.790771678599841,0.8,-0.038461538461538464,-0.038348082595870206,-0.009287925696594427,0.006191950464396285,-0.3414119414828509,0.01,-0.02,-2.04,-2.28,-0.74,-0.76,-2.96,-0.05,-1.15,-2.27,-1.22,-0.84,-0.82,0.65,-1.01,-1.18,-4.15,3.04,1,4,0,0
2022-10-27,0.06904876871076775,-236.70689655172413,-0.26457204767063924,-0.800226547214499,-0.1110397946084724,0.18771268838113758,-1.940145000843028,-0.9696969696969697,-1.155253283302064,65.0,-0.9387246761873131,-0.6888888888888889,0.003076923076923077,0.006134969325153374,0.0,-0.012307692307692308,0.05803863260571414,0.62,0.63,-1.63,-1.84,-0.61,-0.56,0.35,-0.19,0.82,-2.0,-3.08,0.37,1.74,1.74,0.62,-1.5,0.4,1.33,2,2,1,1
2022-10-28,-0.6568589495418764,0.01228878648233487,-1.183382439599293,9.09381443298969,-0.6604693140794223,-0.2706062931696086,-1.0435796269727404,-360.3333333333333,-0.8882175226586103,-14.848484848484848,-1.151761517615176,1.5714285714285714,-0.012269938650306749,-0.003048780487804878,0.003125,0.009345794392523364,-0.1402386577018596,2.57,2.56,2.87,3.13,2.46,2.4,-2.51,-1.89,0.14,2.12,3.08,0.86,-1.07,-0.89,0.03,3.98,-5.99,-1.32,3,1,1,1
2022-10-31,-3.036103798420459,-2.354288604667967,-0.07005141388174807,-0.348738637524257,-1.8548644338118023,-0.0680415263748597,-1.2839506172839505,-0.9990723562152134,24.89189189189189,-1.1794310722100656,-0.6428571428571429,-0.9444444444444444,0.006211180124223602,0.01529051987767584,0.006230529595015576,0.012345679012345678,-0.13000746804943003,-0.39,-0.37,-1.03,-1.21,-0.75,-0.72,1.92,2.13,0.74,0.78,0.98,-0.69,1.12,1.11,0.29,-2.02,0.5,-1.56,4,3,1,0
2022-11-01,-2.055458071666051,-1.4495251307224415,-6.082584657912923,-1.5002744452285737,-2.46455223880597,-0.6131265994279693,-27.91304347826087,12.0,-0.44676409185803756,-0.8475609756097561,13.05,-2.5,0.024691358024691357,0.0030120481927710845,0.0030959752321981426,0.003048780487804878,-0.1761104587601733,-0.26,-0.27,-0.89,-1.01,-0.41,-0.44,-1.97,-1.84,-0.05,-0.04,1.44,1.56,0.68,1.81,-0.64,0.77,-0.27,2.13,0,3,0,0
2022-11-02,-0.6743667147919674,0.2145994065281899,-1.187504249099191,-1.8731974921630095,-0.34182590233545646,-1.4085603112840468,-0.34948842218632203,-2.4615384615384617,-3.050943396226415,-1.0,-0.12099644128113879,70.66666666666667,-0.015060240963855422,-0.009009009009009009,0.0,0.0,0.011018498496137136,-1.54,-1.55,-3.36,-3.42,-2.5,-2.52,-0.5,0.75,-0.12,1.19,1.33,-0.39,-0.38,0.07,-0.3,-3.09,0.19,1.84,1,3,1,0
2022-11-03,0.39809216713690715,-2.4012508550767127,-10.03952139231327,-2.3412313767725723,3.1851612903225806,-5.536190476190476,-0.9105960264900662,2.526315789473684,-0.5050597976080957,-1.0,-0.708502024291498,-1.5255813953488373,0.0061162079510703364,0.0,0.0,0.00303951367781155,0.49685491789731573,-0.46,-0.5,-1.73,-1.98,-1.06,-1.09,1.28,1.46,1.42,1.29,2.31,-0.07,-0.46,-0.33,0.8,-1.53,-2.17,-2.03,2,3,0,0
