ixic,ixic_cr,ixic_f,ixic_f_cr,dji,dji_cr,dji_f,dji_f_cr,spx,spx_cr,spx_f,spx_f_cr,kospi,kospi_cr,kosdaq,kosdaq_cr,wti,dxy,krw,bond_usa_10,bond_usa_2,bond_usa_3m,bond_kor_10,bond_kor_2,vix,vix_cr,f_g_index,sox,sox_cr,cpi,cpi_anticipated,cpi_previous,pp,pp_cr,pp_con_num,fp,fp_cr,fp_con_num,itp,itp_cr,itp_con_num,penp,penp_cr,penp_con_num,pep,pep_cr,pep_con_num,gold,gold_cr,rc1_pcr,rc2_pcr,rc3_pcr,rc4_pcr,fed_rate,fed_rate_ann,fed_rate-imp,bok_rate,bok_rate_ann,bok_rate-imp,fu_date,op_date,open,high,high_time,low,low_time,close,vol,vol_cr
"13,129.96",-0.95%,,,"33,174.07",-0.34%,,,"4,259.52",-0.43%,,,"2,680.32",2.21%,889.08,2.18%,,,,,,,,,30.23,,20.0,"3,211.10",-2.17%,7.9%,7.9%,7.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12,843.81",-2.18%,,,"32,944.19",-0.69%,,,"4,204.31",-1.30%,,,"2,661.28",-0.71%,891.71,0.30%,,,,,,,,,30.75,,19.0,"3,144.10",-2.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12,581.22",-2.04%,,,"32,945.24",0.00%,,,"4,173.11",-0.74%,,,"2,645.65",-0.59%,872.44,-2.16%,,,,,,,,,31.77,,20.0,"3,047.50",-3.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12,948.62",2.92%,,,"33,544.34",1.82%,,,"4,262.45",2.14%,,,"2,621.53",-0.91%,871.22,-0.14%,,,,,,,,,29.83,,23.0,"3,180.20",4.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,436.55",3.77%,,,"34,063.10",1.55%,,,"4,357.95",2.24%,,,"2,659.23",1.44%,891.8,2.36%,,,,,,,,,26.67,,25.0,"3,340.10",5.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,614.78",1.33%,,,"34,480.76",1.23%,,,"4,411.67",1.23%,,,"2,694.51",1.33%,914.13,2.50%,,,,,,,,,25.67,,29.0,"3,364.50",0.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,893.84",2.05%,,,"34,754.93",0.80%,,,"4,463.09",1.17%,,,"2,707.02",0.46%,922.96,0.97%,,,,,,,,,23.870001,,37.0,"3,432.30",2.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,838.46",-0.40%,,,"34,552.99",-0.58%,,,"4,461.18",-0.04%,,,"2,686.05",-0.77%,918.4,-0.49%,,,,,,,,,23.530001,,40.0,"3,423.20",-0.26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
