"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 03- 28","118,000","117,500","119,500","116,500","3.20M","0.00%"
"2022- 03- 27","118,000","118,000","118,000","118,000","","0.00%"
"2022- 03- 25","118,000","122,000","123,000","118,000","5.27M","-2.07%"
"2022- 03- 24","120,500","121,000","122,000","119,500","4.13M","-2.43%"
"2022- 03- 23","123,500","124,000","124,500","122,000","4.06M","0.00%"
"2022- 03- 22","123,500","121,000","124,000","121,000","2.22M","1.23%"
"2022- 03- 21","122,000","124,000","124,500","121,000","3.40M","-1.61%"
"2022- 03- 20","124,000","124,000","124,000","124,000","","0.00%"
"2022- 03- 18","124,000","124,000","125,000","121,000","4.45M","0.00%"
"2022- 03- 17","124,000","121,000","124,500","121,000","7.21M","6.44%"
"2022- 03- 16","116,500","115,000","117,000","114,000","3.70M","3.56%"
"2022- 03- 15","112,500","114,500","115,500","112,000","3.54M","-3.02%"
"2022- 03- 14","116,000","115,500","117,000","114,500","3.15M","-0.85%"
"2022- 03- 11","117,000","118,500","119,000","115,500","3.07M","-2.50%"
"2022- 03- 10","120,000","121,000","121,500","118,500","3.90M","1.69%"
"2022- 03- 09","118,000","118,000","118,000","118,000","","0.00%"
"2022- 03- 08","118,000","117,000","119,500","116,500","3.52M","-1.26%"
"2022- 03- 07","119,500","119,000","121,000","119,000","5.16M","-4.02%"
"2022- 03- 06","124,500","124,500","124,500","124,500","","0.00%"
"2022- 03- 04","124,500","127,500","128,000","124,000","3.22M","-3.49%"
"2022- 03- 03","129,000","128,000","129,500","127,000","3.08M","3.20%"
"2022- 03- 02","125,000","124,500","126,500","123,000","2.89M","1.21%"
"2022- 03- 01","123,500","123,500","123,500","123,500","","0.00%"
"2022- 02- 28","123,500","123,000","123,500","121,000","3.21M","0.41%"
"2022- 02- 25","123,000","125,500","126,000","122,500","3.28M","0.41%"
"2022- 02- 24","122,500","125,500","126,000","122,000","5.69M","-4.67%"
"2022- 02- 23","128,500","130,000","130,500","127,000","2.69M","0.00%"
"2022- 02- 22","128,500","127,000","129,500","126,000","3.16M","-1.15%"
"2022- 02- 21","130,000","129,000","130,500","127,000","4.03M","-1.14%"
"2022- 02- 20","131,500","131,500","131,500","131,500","","0.00%"
"2022- 02- 18","131,500","131,500","133,000","129,500","3.10M","-1.13%"
"2022- 02- 17","133,000","130,500","134,000","130,000","5.38M","1.92%"
"2022- 02- 16","130,500","131,000","132,500","130,000","3.44M","2.76%"
"2022- 02- 15","127,000","131,500","132,000","127,000","5.05M","-4.15%"
"2022- 02- 14","132,500","130,000","132,500","129,500","4.92M","0.38%"
"2022- 02- 13","132,000","132,000","132,000","132,000","","0.00%"
"2022- 02- 11","132,000","130,500","132,500","130,000","6.03M","1.93%"
"2022- 02- 10","129,500","129,000","131,000","127,000","7.16M","2.78%"
"2022- 02- 09","126,000","127,000","128,000","124,500","4.33M","0.80%"
"2022- 02- 08","125,000","124,500","126,000","123,500","4.02M","1.63%"
"2022- 02- 07","123,000","123,000","123,500","119,500","4.78M","-1.20%"
"2022- 02- 06","124,500","124,500","124,500","124,500","","0.00%"
"2022- 02- 04","124,500","125,500","127,000","124,000","3.02M","0.40%"
"2022- 02- 03","124,000","124,500","127,000","124,000","5.08M","2.90%"
"2022- 01- 28","120,500","115,000","121,500","114,500","4.71M","6.17%"
"2022- 01- 27","113,500","119,500","119,500","111,000","6.65M","-3.40%"
"2022- 01- 26","117,500","119,000","119,500","117,500","3.38M","-0.42%"
"2022- 01- 25","118,000","118,000","120,000","116,500","5.66M","-0.84%"
"2022- 01- 24","119,000","116,500","120,500","116,500","4.87M","0.00%"
"2022- 01- 23","119,000","119,000","119,000","119,000","","0.00%"
"2022- 01- 21","119,000","121,500","122,500","118,000","6.10M","-4.80%"
"2022- 01- 20","125,000","126,000","126,500","123,500","5.32M","-1.57%"
"2022- 01- 19","127,000","123,500","128,500","123,500","4.09M","0.40%"
"2022- 01- 18","126,500","126,500","127,500","125,000","3.60M","-0.39%"
"2022- 01- 17","127,000","127,500","128,000","124,500","3.72M","-1.17%"
"2022- 01- 16","128,500","128,500","128,500","128,500","","0.00%"
"2022- 01- 14","128,500","128,500","129,000","126,000","3.76M","-0.77%"
"2022- 01- 13","129,500","128,500","130,000","128,000","4.15M","0.78%"
