,date,bond_usa_2,open,high,low,bond_usa_2_cr
225,2020-09-30,0.1309,0.127,0.131,0.121,3.07%
226,2020-10-01,0.1289,0.131,0.139,0.127,-1.53%
227,2020-10-02,0.1329,0.129,0.137,0.123,3.10%
228,2020-10-04,0.1348,0.1348,0.1348,0.1348,1.43%
229,2020-10-05,0.1487,0.133,0.151,0.129,10.31%
230,2020-10-06,0.1467,0.149,0.151,0.141,-1.34%
231,2020-10-07,0.1527,0.151,0.159,0.149,4.09%
232,2020-10-08,0.1488,0.153,0.155,0.147,-2.55%
233,2020-10-09,0.1569,0.147,0.157,0.147,5.44%
234,2020-10-13,0.1409,0.149,0.153,0.141,-10.20%
235,2020-10-14,0.141,0.141,0.145,0.139,0.07%
236,2020-10-15,0.143,0.141,0.143,0.135,1.42%
237,2020-10-16,0.1471,0.139,0.147,0.135,2.87%
238,2020-10-18,0.1491,0.1511,0.1511,0.1491,1.36%
239,2020-10-19,0.1471,0.151,0.153,0.145,-1.34%
240,2020-10-20,0.1472,0.149,0.151,0.145,0.07%
241,2020-10-21,0.1492,0.147,0.153,0.147,1.36%
242,2020-10-22,0.1553,0.149,0.157,0.147,4.09%
243,2020-10-23,0.1554,0.151,0.157,0.149,0.06%
244,2020-10-26,0.1514,0.155,0.155,0.147,-2.57%
245,2020-10-27,0.1494,0.154,0.154,0.147,-1.32%
246,2020-10-28,0.1505,0.149,0.153,0.145,0.74%
247,2020-10-29,0.1525,0.15,0.154,0.143,1.33%
248,2020-10-30,0.1564,0.15,0.156,0.147,2.56%
249,2020-11-01,0.1544,0.1544,0.1544,0.1544,-1.28%
250,2020-11-02,0.1584,0.154,0.158,0.153,2.59%
251,2020-11-03,0.1702,0.162,0.174,0.16,7.45%
252,2020-11-04,0.1487,0.176,0.178,0.143,-12.63%
253,2020-11-05,0.1487,0.147,0.157,0.143,0.00%
254,2020-11-06,0.1547,0.147,0.159,0.147,4.03%
255,2020-11-08,0.1567,0.1567,0.1567,0.1567,1.29%
256,2020-11-09,0.1746,0.155,0.189,0.149,11.42%
257,2020-11-10,0.1847,0.175,0.185,0.171,5.78%
258,2020-11-11,0.1867,0.1867,0.1867,0.1867,1.08%
259,2020-11-12,0.1768,0.183,0.185,0.173,-5.30%
260,2020-11-13,0.1811,0.181,0.183,0.175,2.43%
261,2020-11-15,0.1831,0.1851,0.1851,0.1831,1.10%
262,2020-11-16,0.1791,0.183,0.183,0.173,-2.18%
263,2020-11-17,0.1752,0.177,0.181,0.171,-2.18%
264,2020-11-18,0.1753,0.173,0.179,0.171,0.06%
265,2020-11-19,0.1672,0.171,0.175,0.165,-4.62%
266,2020-11-20,0.1614,0.163,0.167,0.159,-3.47%
267,2020-11-22,0.1614,0.1614,0.1614,0.1614,0.00%
268,2020-11-23,0.1634,0.19,0.19,0.159,1.24%
269,2020-11-24,0.1641,0.168,0.17,0.16,0.43%
270,2020-11-25,0.1622,0.166,0.166,0.156,-1.16%
271,2020-11-26,0.1563,0.1563,0.1563,0.1563,-3.64%
272,2020-11-27,0.1544,0.154,0.156,0.154,-1.22%
273,2020-11-29,0.1563,0.1544,0.1563,0.1544,1.23%
274,2020-11-30,0.1505,0.154,0.158,0.147,-3.71%
275,2020-12-01,0.1701,0.15,0.174,0.147,13.02%
276,2020-12-02,0.1623,0.166,0.168,0.16,-4.59%
277,2020-12-03,0.1526,0.162,0.164,0.151,-5.98%
278,2020-12-04,0.1527,0.154,0.161,0.149,0.07%
279,2020-12-07,0.1448,0.153,0.155,0.143,-5.17%
280,2020-12-08,0.1508,0.145,0.153,0.141,4.14%
281,2020-12-09,0.1508,0.157,0.159,0.151,0.00%
282,2020-12-10,0.1389,0.149,0.149,0.139,-7.89%
283,2020-12-11,0.121,0.139,0.139,0.117,-12.89%
284,2020-12-13,0.123,0.123,0.123,0.123,1.65%
285,2020-12-14,0.119,0.125,0.129,0.115,-3.25%
286,2020-12-15,0.119,0.119,0.123,0.117,0.00%
287,2020-12-16,0.119,0.117,0.129,0.117,0.00%
288,2020-12-17,0.123,0.117,0.129,0.115,3.36%
289,2020-12-18,0.123,0.123,0.123,0.119,0.00%
290,2020-12-20,0.121,0.121,0.121,0.121,-1.63%
291,2020-12-21,0.123,0.121,0.125,0.109,1.65%
292,2020-12-22,0.1189,0.123,0.123,0.117,-3.33%
293,2020-12-23,0.121,0.117,0.127,0.117,1.77%
294,2020-12-24,0.123,0.123,0.123,0.119,1.65%
295,2020-12-27,0.125,0.123,0.125,0.123,1.63%
296,2020-12-28,0.123,0.123,0.133,0.119,-1.60%
297,2020-12-29,0.1289,0.129,0.131,0.125,4.80%
298,2020-12-30,0.125,0.127,0.133,0.125,-3.03%
299,2020-12-31,0.123,0.125,0.129,0.121,-1.60%
300,2021-01-03,0.125,0.123,0.125,0.123,1.63%
301,2021-01-04,0.1171,0.123,0.129,0.115,-6.32%
302,2021-01-05,0.123,0.119,0.123,0.113,5.04%
303,2021-01-06,0.1388,0.125,0.151,0.123,12.85%
304,2021-01-07,0.1408,0.139,0.145,0.137,1.44%
305,2021-01-08,0.1369,0.141,0.149,0.133,-2.77%
306,2021-01-10,0.1369,0.1369,0.1369,0.1369,0.00%
307,2021-01-11,0.1489,0.137,0.149,0.129,8.77%
308,2021-01-12,0.1469,0.147,0.153,0.145,-1.34%
309,2021-01-13,0.145,0.145,0.153,0.143,-1.29%
310,2021-01-14,0.145,0.147,0.153,0.141,0.00%
311,2021-01-15,0.135,0.143,0.145,0.135,-6.90%
312,2021-01-18,0.137,0.137,0.137,0.137,1.48%
313,2021-01-19,0.133,0.137,0.143,0.131,-2.92%
314,2021-01-20,0.129,0.133,0.137,0.127,-3.01%
315,2021-01-21,0.125,0.129,0.133,0.123,-3.10%
316,2021-01-22,0.125,0.125,0.127,0.121,0.00%
317,2021-01-24,0.125,0.125,0.125,0.125,0.00%
318,2021-01-25,0.1209,0.123,0.127,0.119,-3.28%
319,2021-01-26,0.123,0.125,0.125,0.121,1.74%
320,2021-01-27,0.1191,0.123,0.123,0.115,-3.17%
321,2021-01-28,0.1211,0.123,0.123,0.117,1.68%
322,2021-01-29,0.1113,0.121,0.123,0.111,-8.09%
323,2021-01-31,0.1093,0.1113,0.1133,0.1093,-1.80%
324,2021-02-01,0.1113,0.111,0.113,0.107,1.83%
325,2021-02-02,0.1132,0.109,0.117,0.109,1.71%
326,2021-02-03,0.1191,0.113,0.121,0.113,5.21%
327,2021-02-04,0.1132,0.119,0.121,0.113,-4.95%
328,2021-02-05,0.1052,0.115,0.115,0.105,-7.07%
329,2021-02-07,0.1052,0.1072,0.1072,0.1052,0.00%
330,2021-02-08,0.1131,0.107,0.115,0.105,7.51%
331,2021-02-09,0.1171,0.113,0.119,0.111,3.54%
332,2021-02-10,0.1111,0.117,0.119,0.109,-5.12%
333,2021-02-11,0.1091,0.111,0.139,0.107,-1.80%
334,2021-02-12,0.111,0.109,0.113,0.107,1.74%
335,2021-02-15,0.115,0.115,0.115,0.115,3.60%
336,2021-02-16,0.123,0.113,0.123,0.113,6.96%
337,2021-02-17,0.1089,0.121,0.125,0.107,-11.46%
338,2021-02-18,0.1089,0.107,0.113,0.105,0.00%
339,2021-02-19,0.1088,0.109,0.111,0.107,-0.09%
340,2021-02-21,0.1109,0.1109,0.1109,0.1109,1.93%
341,2021-02-22,0.1149,0.111,0.115,0.107,3.61%
342,2021-02-23,0.1109,0.117,0.119,0.109,-3.48%
343,2021-02-24,0.125,0.115,0.131,0.111,12.71%
344,2021-02-25,0.1779,0.125,0.194,0.125,42.32%
345,2021-02-26,0.1289,0.176,0.182,0.123,-27.54%
346,2021-02-28,0.125,0.127,0.127,0.125,-3.03%
347,2021-03-01,0.1211,0.123,0.141,0.119,-3.12%
348,2021-03-02,0.123,0.123,0.131,0.117,1.57%
349,2021-03-03,0.1427,0.123,0.147,0.121,16.02%
350,2021-03-04,0.1467,0.145,0.151,0.135,2.80%
351,2021-03-05,0.1408,0.149,0.155,0.133,-4.02%
352,2021-03-07,0.1468,0.1507,0.1507,0.1468,4.26%
353,2021-03-08,0.1646,0.147,0.167,0.145,12.13%
354,2021-03-09,0.1627,0.165,0.169,0.157,-1.15%
355,2021-03-10,0.1548,0.159,0.171,0.153,-4.86%
356,2021-03-11,0.1429,0.155,0.159,0.139,-7.69%
357,2021-03-12,0.149,0.143,0.163,0.141,4.27%
358,2021-03-14,0.153,0.153,0.153,0.153,2.68%
359,2021-03-15,0.153,0.153,0.157,0.147,0.00%
360,2021-03-16,0.151,0.151,0.157,0.147,-1.31%
361,2021-03-17,0.137,0.153,0.159,0.125,-9.27%
362,2021-03-18,0.1571,0.137,0.169,0.127,14.67%
363,2021-03-19,0.1532,0.161,0.169,0.137,-2.48%
364,2021-03-21,0.1512,0.1492,0.1512,0.1492,-1.31%
365,2021-03-22,0.1513,0.149,0.153,0.139,0.07%
366,2021-03-23,0.1473,0.149,0.151,0.143,-2.64%
367,2021-03-24,0.1504,0.15,0.152,0.143,2.10%
368,2021-03-25,0.1387,0.148,0.15,0.135,-7.78%
369,2021-03-26,0.1406,0.139,0.143,0.129,1.37%
370,2021-03-28,0.1406,0.1406,0.1406,0.1406,0.00%
371,2021-03-29,0.1426,0.141,0.147,0.135,1.42%
372,2021-03-30,0.1485,0.145,0.158,0.143,4.14%
373,2021-03-31,0.1622,0.15,0.164,0.148,9.23%
374,2021-04-01,0.1624,0.16,0.166,0.155,0.12%
375,2021-04-02,0.162,0.161,0.19,0.161,-0.25%
376,2021-04-04,0.1841,0.1841,0.1841,0.1841,13.64%
377,2021-04-05,0.1704,0.184,0.194,0.168,-7.44%
378,2021-04-06,0.1625,0.168,0.172,0.159,-4.64%
379,2021-04-07,0.1547,0.162,0.163,0.147,-4.80%
380,2021-04-08,0.1508,0.155,0.155,0.147,-2.52%
381,2021-04-09,0.1588,0.151,0.163,0.151,5.31%
382,2021-04-11,0.1628,0.1628,0.1628,0.1628,2.52%
383,2021-04-12,0.1688,0.163,0.173,0.153,3.69%
384,2021-04-13,0.1609,0.169,0.177,0.159,-4.68%
385,2021-04-14,0.163,0.161,0.167,0.159,1.31%
386,2021-04-15,0.161,0.165,0.165,0.155,-1.23%
387,2021-04-16,0.1632,0.161,0.167,0.159,1.37%
388,2021-04-18,0.1612,0.1632,0.1632,0.1612,-1.23%
389,2021-04-19,0.1612,0.161,0.167,0.159,0.00%
390,2021-04-20,0.1532,0.163,0.165,0.151,-4.96%
391,2021-04-21,0.1492,0.153,0.155,0.149,-2.61%
392,2021-04-22,0.1513,0.149,0.155,0.145,1.41%
393,2021-04-23,0.1595,0.153,0.162,0.149,5.42%
394,2021-04-25,0.1595,0.1575,0.1595,0.1575,0.00%
395,2021-04-26,0.1697,0.157,0.172,0.157,6.39%
396,2021-04-27,0.1818,0.178,0.182,0.174,7.13%
397,2021-04-28,0.1661,0.178,0.184,0.164,-8.64%
398,2021-04-29,0.1641,0.166,0.174,0.164,-1.20%
399,2021-04-30,0.1623,0.164,0.168,0.162,-1.10%
400,2021-05-02,0.1623,0.1623,0.1623,0.1623,0.00%
401,2021-05-03,0.1624,0.164,0.176,0.158,0.06%
