,date,ixf,open,high,low,volume,ixf_cr
218,2022-11-01,4991.1,5046.6,5047.5,4982.1,,-0.01
219,2022-11-02,4896.8,4973.5,5038.8,4896.4,,-1.89
220,2022-11-03,4861.9,4842.7,4896.4,4820.5,,-0.71
221,2022-11-04,4947.2,4928.1,4967.6,4882.6,,1.76
222,2022-11-07,4967.6,4975.7,4981.0,4926.0,,0.41
223,2022-11-08,4974.1,4959.1,5028.4,4925.9,,0.13
224,2022-11-09,4889.1,4936.2,4957.3,4879.1,,-1.71
225,2022-11-10,5127.9,5057.2,5130.9,5048.5,,4.89
226,2022-11-11,5152.5,5143.3,5187.7,5117.6,,0.48
227,2022-11-14,5064.7,5126.7,5147.2,5063.9,,-1.7
228,2022-11-15,5108.9,5140.8,5163.4,5068.7,,0.87
229,2022-11-16,5025.0,5086.3,5089.3,5019.1,,-1.64
230,2022-11-17,4965.7,4949.5,4976.9,4932.6,,-1.18
231,2022-11-18,4981.7,5035.9,5038.2,4946.2,,0.32
232,2022-11-21,4997.6,4971.9,5000.4,4971.9,,0.32
233,2022-11-22,5049.9,5024.5,5055.3,5016.9,,1.05
234,2022-11-23,5069.4,5043.1,5085.9,5043.1,,0.39
235,2022-11-25,5087.1,5070.5,5089.0,5061.0,,0.35
236,2022-11-28,4991.7,5047.5,5072.0,4982.3,,-1.87
237,2022-11-29,5025.0,5002.3,5045.9,4993.6,,0.67
238,2022-11-30,5137.5,5020.9,5139.1,4960.3,,2.24
239,2022-12-01,5139.0,5160.0,5167.0,5104.1,,0.03
240,2022-12-02,5144.6,5082.0,5155.9,5082.0,,0.11
241,2022-12-05,4995.1,5118.0,5118.6,4968.6,,-2.91
242,2022-12-06,4956.1,4996.6,5006.1,4928.6,,-0.78
243,2022-12-07,4915.0,4936.6,4975.2,4912.7,,-0.83
244,2022-12-08,4938.4,4939.3,4961.5,4914.9,,0.48
245,2022-12-09,4912.6,4920.7,4941.6,4911.4,,-0.52
246,2022-12-12,4958.9,4907.3,4968.2,4886.7,,0.94
247,2022-12-13,4928.3,5071.9,5075.8,4907.0,,-0.62
248,2022-12-14,4849.4,4920.2,4941.8,4833.9,,-1.6
249,2022-12-15,4752.9,4787.6,4795.0,4733.2,,-1.99
250,2022-12-16,4705.6,4700.3,4739.0,4672.1,,-0.99
251,2022-12-19,4692.3,4704.4,4725.8,4665.9,,-0.28
252,2022-12-20,4710.9,4698.1,4737.8,4696.5,,0.4
253,2022-12-21,4807.6,4755.9,4809.0,4755.9,,2.05
254,2022-12-22,4770.8,4774.2,4774.9,4692.2,,-0.77
255,2022-12-23,4805.0,4772.2,4808.3,4752.4,,0.72
256,2022-12-27,4778.7,4800.1,4805.7,4762.0,,-0.55
257,2022-12-28,4728.3,4783.9,4791.4,4728.2,,-1.05
258,2022-12-29,4818.1,4754.5,4824.3,4749.8,,1.9
259,2022-12-30,4775.9,4769.6,4792.2,4739.1,,-0.88
260,2023-01-03,4758.9,4804.5,4821.9,4726.4,,-0.36
261,2023-01-04,4809.2,4799.6,4844.7,4783.6,,1.06
262,2023-01-05,4766.7,4777.7,4784.1,4739.5,,-0.88
263,2023-01-06,4907.4,4807.8,4915.1,4785.4,,2.95
264,2023-01-09,4918.0,4931.3,4972.0,4912.7,,0.22
265,2023-01-10,4967.2,4917.8,4969.5,4907.0,,1.0
266,2023-01-11,4997.1,4982.3,5006.3,4974.8,,0.6
267,2023-01-12,5034.7,5012.8,5046.1,4972.0,,0.75
268,2023-01-13,5055.0,4982.5,5063.7,4965.3,,0.4
269,2023-01-17,5042.5,5061.3,5064.7,5024.6,,-0.25
270,2023-01-18,4945.7,5040.6,5052.5,4944.7,,-1.92
271,2023-01-19,4895.1,4901.2,4918.4,4866.3,,-1.02
272,2023-01-20,5006.2,4951.9,5007.4,4911.7,,2.27
273,2023-01-23,5066.8,5014.9,5084.3,5009.3,,1.21
274,2023-01-24,5030.7,5058.4,5058.7,5019.9,,-0.71
275,2023-01-25,5035.3,4973.3,5035.9,4949.6,,0.09
276,2023-01-26,5074.9,5061.8,5076.3,5026.9,,0.79
277,2023-01-27,5104.8,5061.2,5119.7,5055.9,,0.59
278,2023-01-30,5064.6,5079.8,5121.7,5061.5,,-0.79
279,2023-01-31,5162.2,5072.9,5162.8,5053.6,,1.93
280,2023-02-01,5221.6,5139.4,5263.9,5133.9,,1.15
281,2023-02-02,5318.9,5266.1,5346.4,5264.6,,1.86
282,2023-02-03,5289.6,5253.2,5349.9,5252.5,,-0.55
283,2023-02-06,5237.7,5243.8,5259.3,5213.3,,-0.98
284,2023-02-07,5309.9,5212.3,5321.8,5205.0,,1.38
285,2023-02-08,5292.5,5285.0,5332.8,5281.1,,-0.33
286,2023-02-09,5187.8,5326.7,5326.7,5184.6,,-1.98
287,2023-02-10,5185.9,5164.0,5190.9,5150.9,,-0.04
288,2023-02-13,5242.0,5183.7,5242.3,5177.7,,1.08
289,2023-02-14,5223.5,5235.8,5271.0,5176.7,,-0.35
290,2023-02-15,5291.2,5196.1,5291.6,5195.2,,1.3
291,2023-02-16,5226.8,5234.3,5272.4,5216.5,,-1.22
292,2023-02-17,5221.8,5203.2,5229.4,5180.7,,-0.09
293,2023-02-21,5115.4,5175.2,5184.0,5101.9,,-2.04
294,2023-02-22,5105.5,5116.9,5133.5,5083.9,,-0.19
295,2023-02-23,5121.5,5130.7,5143.7,5071.0,,0.31
296,2023-02-24,5094.3,5065.7,5096.0,5051.6,,-0.53
297,2023-02-27,5084.9,5138.3,5151.8,5074.4,,-0.18
298,2023-02-28,5103.9,5091.9,5136.7,5084.9,,0.37
299,2023-03-01,5086.8,5079.9,5096.2,5057.3,,-0.34
300,2023-03-02,5050.0,5035.4,5052.1,4987.9,,-0.72
301,2023-03-03,5110.3,5067.0,5114.7,5050.2,,1.19
302,2023-03-06,5082.0,5113.7,5142.6,5075.4,,-0.55
303,2023-03-07,4965.3,5065.2,5065.2,4961.6,,-2.3
304,2023-03-08,4962.6,4967.4,4993.5,4935.2,,-0.05
305,2023-03-09,4683.6,4888.6,4888.6,4678.8,,-5.62
306,2023-03-10,4489.0,4595.0,4662.0,4475.4,,-4.15
307,2023-03-13,4269.2,4304.6,4416.5,4189.9,,-4.9
308,2023-03-14,4361.0,4478.3,4495.0,4321.7,,2.15
309,2023-03-15,4284.6,4215.6,4293.2,4211.5,,-1.75
310,2023-03-16,4406.5,4245.1,4449.0,4221.7,,2.84
311,2023-03-17,4281.6,4361.7,4362.9,4268.5,,-2.83
