,date,ixk,open,high,low,volume,ixk_cr
198,2022-10-10,7804.0400390625,7923.39013671875,7934.509765625,7723.41015625,881500,-1.60%
199,2022-10-11,7681.25,7739.06982421875,7821.5400390625,7621.66015625,996300,-1.57%
200,2022-10-12,7661.91015625,7682.18017578125,7740.490234375,7640.85009765625,816300,-0.25%
201,2022-10-13,7874.93017578125,7433.91015625,7916.3798828125,7408.0,0,2.78%
202,2022-10-14,7629.419921875,7946.39990234375,7965.2900390625,7619.14013671875,0,-3.12%
203,2022-10-17,7892.97021484375,7848.83984375,7921.83984375,7819.39990234375,951000,3.45%
204,2022-10-18,7949.080078125,8126.2099609375,8128.64990234375,7846.25,900500,0.71%
205,2022-10-19,7912.66015625,7880.85986328125,8005.60986328125,7840.3798828125,765500,-0.46%
206,2022-10-20,7917.97021484375,7932.39013671875,8097.06982421875,7878.60009765625,873100,0.07%
207,2022-10-21,8103.1201171875,7868.89013671875,8120.18017578125,7841.89990234375,883100,2.34%
208,2022-10-24,8199.509765625,8114.97998046875,8228.58984375,7998.77978515625,919500,1.19%
209,2022-10-25,8383.6298828125,8241.830078125,8388.83984375,8234.4501953125,919500,2.25%
210,2022-10-26,8039.81005859375,8050.0498046875,8248.5703125,8029.4599609375,1083800,-4.10%
211,2022-10-27,7828.5498046875,8009.6298828125,8037.830078125,7810.22998046875,1269100,-2.63%
212,2022-10-28,8194.4296875,7884.56982421875,8211.9296875,7884.330078125,1107600,4.67%
213,2022-10-31,8059.2998046875,8122.14013671875,8138.35986328125,8015.64013671875,985400,-1.65%
214,2022-11-01,7943.2900390625,8185.89990234375,8189.0,7930.5400390625,990000,-1.44%
215,2022-11-02,7647.8798828125,7952.33984375,8036.60986328125,7646.68017578125,1167600,-3.72%
216,2022-11-03,7416.580078125,7537.9501953125,7563.56982421875,7414.35986328125,1038500,-3.02%
217,2022-11-04,7553.0498046875,7594.580078125,7595.35009765625,7366.18017578125,1163900,1.84%
218,2022-11-07,7687.52978515625,7580.10009765625,7701.4599609375,7515.580078125,986100,1.78%
219,2022-11-08,7756.85986328125,7764.06982421875,7852.419921875,7636.1298828125,975700,0.90%
220,2022-11-09,7563.47021484375,7686.33984375,7706.080078125,7556.080078125,910900,-2.49%
221,2022-11-10,8244.7802734375,8002.7001953125,8248.0400390625,7925.169921875,1267600,9.01%
222,2022-11-11,8441.9697265625,8246.6298828125,8469.25,8192.9599609375,1201900,2.39%
223,2022-11-14,8341.8203125,8357.0498046875,8448.75,8297.7099609375,1056000,-1.19%
224,2022-11-15,8490.3798828125,8579.48046875,8601.7001953125,8395.2998046875,1091900,1.78%
225,2022-11-16,8349.5400390625,8404.3603515625,8433.5498046875,8322.5703125,859500,-1.66%
226,2022-11-17,8357.080078125,8203.23046875,8406.0,8198.2197265625,820900,0.09%
227,2022-11-18,8345.8603515625,8439.490234375,8440.7001953125,8278.6796875,757600,-0.13%
228,2022-11-21,8230.759765625,8292.259765625,8328.9296875,8220.48046875,731300,-1.38%
229,2022-11-22,8376.9697265625,8263.9599609375,8382.509765625,8182.5400390625,0,1.78%
230,2022-11-23,8467.3203125,8363.1103515625,8489.48046875,8363.1103515625,641100,1.08%
231,2022-11-25,8381.0302734375,8396.2197265625,8418.5498046875,8374.900390625,319800,-1.02%
232,2022-11-28,8199.51953125,8293.08984375,8347.150390625,8168.2099609375,778100,-2.17%
233,2022-11-29,8121.85009765625,8199.900390625,8218.740234375,8083.18017578125,713200,-0.95%
234,2022-11-30,8573.8896484375,8109.18994140625,8574.41015625,8104.60986328125,1345400,5.57%
235,2022-12-01,8600.7099609375,8571.9599609375,8651.1904296875,8497.08984375,881500,0.31%
236,2022-12-02,8558.919921875,8437.509765625,8582.7001953125,8420.919921875,783700,-0.49%
237,2022-12-05,8433.48046875,8504.5595703125,8583.009765625,8381.7001953125,781700,-1.47%
238,2022-12-06,8229.4296875,8428.26953125,8447.3701171875,8179.72021484375,814700,-2.42%
239,2022-12-07,8165.91015625,8180.2099609375,8248.2099609375,8128.16015625,777200,-0.77%
240,2022-12-08,8286.33984375,8213.1904296875,8322.8203125,8147.419921875,900900,1.47%
241,2022-12-09,8236.4697265625,8258.099609375,8361.650390625,8208.3896484375,915100,-0.60%
242,2022-12-12,8390.6298828125,8252.330078125,8391.259765625,8235.599609375,926900,1.87%
243,2022-12-13,8531.4599609375,8739.650390625,8796.509765625,8444.7802734375,1069800,1.68%
244,2022-12-14,8458.66015625,8532.76953125,8624.900390625,8357.7001953125,982500,-0.85%
245,2022-12-15,8119.490234375,8328.0498046875,8337.490234375,8086.64990234375,1202900,-4.01%
246,2022-12-16,8038.009765625,8113.18994140625,8172.10009765625,7993.22021484375,1599900,-1.00%
247,2022-12-19,7894.27978515625,8032.81005859375,8040.31005859375,7844.0,819000,-1.79%
248,2022-12-20,7911.0400390625,7834.509765625,7946.60009765625,7797.1201171875,752000,0.21%
249,2022-12-21,8043.02978515625,7929.58984375,8081.2998046875,7912.02001953125,911900,1.67%
250,2022-12-22,7820.2099609375,7922.2099609375,7939.8701171875,7689.81005859375,1361900,-2.77%
251,2022-12-23,7833.06005859375,7770.66015625,7843.52978515625,7704.5498046875,864600,0.16%
252,2022-12-27,7721.35009765625,7790.0,7803.60009765625,7689.009765625,712700,-1.43%
253,2022-12-28,7586.02978515625,7700.47021484375,7770.419921875,7579.7900390625,689300,-1.75%
254,2022-12-29,7815.25,7676.3701171875,7841.33984375,7661.9501953125,695500,3.02%
255,2022-12-30,7806.9599609375,7713.41015625,7809.7998046875,7674.1201171875,643800,-0.11%
256,2023-01-03,7733.93017578125,7904.56982421875,7966.72998046875,7682.41015625,807000,-0.94%
257,2023-01-04,7732.080078125,7787.6298828125,7791.10009765625,7645.330078125,1022700,-0.02%
258,2023-01-05,7571.31982421875,7672.5400390625,7681.27978515625,7559.8701171875,832200,-2.08%
259,2023-01-06,7779.1298828125,7626.39990234375,7807.1298828125,7521.990234375,884000,2.74%
260,2023-01-09,7869.3798828125,7871.16015625,8026.7099609375,7849.52001953125,890400,1.16%
261,2023-01-10,7924.5,7831.39013671875,7929.5400390625,7799.43994140625,884900,0.70%
262,2023-01-11,8087.009765625,7960.0400390625,8087.64990234375,7924.759765625,989700,2.05%
263,2023-01-12,8138.0,8112.8798828125,8177.16015625,7970.18994140625,991200,0.63%
264,2023-01-13,8194.4404296875,8062.91015625,8199.4599609375,8048.2900390625,846400,0.69%
265,2023-01-17,8229.73046875,8173.97998046875,8267.490234375,8143.7001953125,1050400,0.43%
266,2023-01-18,8144.18994140625,8292.919921875,8345.6298828125,8138.10986328125,898400,-1.04%
267,2023-01-19,8085.169921875,8092.240234375,8158.2099609375,8042.6201171875,898000,-0.72%
268,2023-01-20,8351.2802734375,8159.31005859375,8355.73046875,8130.740234375,1323500,3.29%
269,2023-01-23,8573.08984375,8382.1904296875,8607.4404296875,8359.51953125,1379600,2.66%
270,2023-01-24,8545.900390625,8507.7900390625,8595.0400390625,8504.0,1281400,-0.32%
271,2023-01-25,8494.080078125,8370.7802734375,8523.0400390625,8295.080078125,1078400,-0.61%
272,2023-01-26,8686.169921875,8611.8701171875,8690.650390625,8521.2099609375,1547100,2.26%
273,2023-01-27,8751.4501953125,8632.849609375,8813.650390625,8631.83984375,1590900,0.75%
274,2023-01-30,8540.3603515625,8643.4501953125,8665.0498046875,8535.6904296875,1117000,-2.41%
275,2023-01-31,8681.4404296875,8538.2998046875,8683.099609375,8538.2998046875,1230500,1.65%
276,2023-02-01,8910.5400390625,8685.849609375,8980.849609375,8638.26953125,1442300,2.64%
277,2023-02-02,9318.0400390625,9187.2197265625,9366.16015625,9147.0595703125,1577800,4.57%
278,2023-02-03,9203.400390625,9096.8701171875,9398.400390625,9096.8701171875,1287100,-1.23%
279,2023-02-06,9079.8798828125,9087.830078125,9168.98046875,9045.2099609375,1376600,-1.34%
280,2023-02-07,9362.8203125,9109.33984375,9399.4501953125,9107.2197265625,1240700,3.12%
281,2023-02-08,9155.2998046875,9338.0400390625,9366.009765625,9136.66015625,1297600,-2.22%
282,2023-02-09,9047.6298828125,9300.1396484375,9302.919921875,9007.6796875,1237500,-1.18%
283,2023-02-10,8973.7802734375,8983.580078125,9027.6904296875,8899.580078125,926700,-0.82%
284,2023-02-13,9140.150390625,9035.1103515625,9167.1298828125,9009.3798828125,830300,1.85%
285,2023-02-14,9205.66015625,9072.1796875,9232.8203125,9030.6396484375,918700,0.72%
286,2023-02-15,9263.400390625,9152.650390625,9264.3603515625,9115.91015625,916900,0.63%
287,2023-02-16,9070.650390625,9102.0498046875,9214.98046875,9064.6904296875,891500,-2.08%
288,2023-02-17,8956.990234375,8986.41015625,9014.400390625,8871.25,843200,-1.25%
289,2023-02-21,8727.150390625,8832.5302734375,8881.490234375,8723.6201171875,873900,-2.57%
