,date,ixtr,open,high,low,volume,ixtr_cr
215,2022-11-02,5153.97998046875,5268.7099609375,5368.1201171875,5152.60986328125,151500,-3.19%
216,2022-11-03,5200.56005859375,5102.39013671875,5236.33984375,5078.85986328125,163700,0.90%
217,2022-11-04,5324.33984375,5288.39013671875,5330.47021484375,5240.419921875,158100,2.38%
218,2022-11-07,5404.31982421875,5362.669921875,5414.669921875,5335.06005859375,146700,1.50%
219,2022-11-08,5462.18017578125,5434.6201171875,5489.25,5390.31005859375,169000,1.07%
220,2022-11-09,5361.14013671875,5414.2998046875,5478.419921875,5351.52978515625,136800,-1.85%
221,2022-11-10,5652.419921875,5561.72998046875,5659.39013671875,5543.77001953125,176800,5.43%
222,2022-11-11,5755.02978515625,5699.64013671875,5767.83984375,5682.06982421875,160100,1.82%
223,2022-11-14,5741.669921875,5714.77978515625,5836.43994140625,5714.77978515625,151700,-0.23%
224,2022-11-15,5768.5400390625,5829.669921875,5842.14013671875,5705.33984375,145500,0.47%
225,2022-11-16,5646.27978515625,5721.669921875,5733.7998046875,5639.81005859375,128200,-2.12%
226,2022-11-17,5603.02978515625,5546.77001953125,5603.330078125,5492.85009765625,121000,-0.77%
227,2022-11-18,5618.580078125,5676.35986328125,5678.830078125,5566.759765625,119900,0.28%
228,2022-11-21,5637.35986328125,5599.31982421875,5650.740234375,5583.77978515625,136700,0.33%
229,2022-11-22,5661.31982421875,5658.93994140625,5697.18017578125,5639.66015625,0,0.43%
230,2022-11-23,5693.56982421875,5665.93994140625,5713.41015625,5658.25,105000,0.57%
231,2022-11-25,5701.490234375,5702.0,5722.02001953125,5695.3701171875,56200,0.14%
232,2022-11-28,5591.080078125,5662.47021484375,5690.9501953125,5581.6298828125,145300,-1.94%
233,2022-11-29,5645.9501953125,5609.2099609375,5653.66015625,5586.169921875,105400,0.98%
234,2022-11-30,5765.39990234375,5649.06982421875,5767.89013671875,5587.7001953125,180200,2.12%
235,2022-12-01,5743.509765625,5773.97021484375,5783.52978515625,5700.9501953125,162000,-0.38%
