,date,wti,open,high,low,volume,wti_cr
497,2021-11-19,76.1,78.76,79.92,75.37,30.70K,-3.68%
498,2021-11-22,76.75,75.75,77.16,74.76,465.77K,+0.85%
499,2021-11-23,78.5,76.46,78.86,75.3,506.99K,+2.28%
500,2021-11-24,78.39,78.48,79.23,77.98,328.85K,-0.14%
501,2021-11-25,77.41,78.38,78.65,77.28,,-1.25%
502,2021-11-26,68.15,78.34,78.65,67.4,844.63K,-11.96%
503,2021-11-29,69.95,69.23,72.93,68.86,675.09K,+2.64%
504,2021-11-30,66.18,70.04,71.22,64.43,722.48K,-5.39%
505,2021-12-01,65.57,67.01,69.49,64.84,602.45K,-0.92%
506,2021-12-02,66.5,65.63,67.49,62.43,668.29K,+1.42%
507,2021-12-03,66.26,67.5,69.22,65.6,449.97K,-0.36%
508,2021-12-06,69.49,67.02,70.15,66.72,401.06K,+4.87%
509,2021-12-07,72.05,69.72,73.03,69.52,496.53K,+3.68%
510,2021-12-08,72.36,71.86,73.0,70.91,464.85K,+0.43%
511,2021-12-09,70.94,72.52,73.34,70.39,393.21K,-1.96%
512,2021-12-10,71.67,70.68,72.33,70.32,397.88K,+1.03%
513,2021-12-13,71.29,72.04,73.0,70.71,406.60K,-0.53%
514,2021-12-14,70.73,71.12,72.03,69.51,359.45K,-0.79%
515,2021-12-15,70.87,70.35,71.66,69.39,294.34K,+0.20%
516,2021-12-16,72.38,71.48,72.99,71.03,142.54K,+2.13%
517,2021-12-17,70.86,71.92,72.26,69.89,78.13K,-2.10%
518,2021-12-20,68.23,70.07,70.07,66.04,36.73K,-3.71%
519,2021-12-21,71.12,69.21,71.55,68.56,358.78K,+4.24%
520,2021-12-22,72.76,71.27,73.16,70.8,306.71K,+2.31%
521,2021-12-23,73.79,73.03,73.95,72.27,270.22K,+1.42%
522,2021-12-27,75.57,73.38,76.09,72.57,268.49K,+2.41%
523,2021-12-28,75.98,75.97,76.92,75.53,249.73K,+0.54%
524,2021-12-29,76.56,76.04,77.37,75.36,283.56K,+0.76%
525,2021-12-30,76.99,76.58,77.44,75.78,231.16K,+0.56%
526,2021-12-31,75.21,76.66,77.08,74.95,237.12K,-2.31%
527,2022-01-03,76.08,75.69,76.46,74.27,317.63K,+1.16%
528,2022-01-04,76.99,76.02,77.64,75.7,372.85K,+1.20%
529,2022-01-05,77.85,77.18,78.58,76.51,397.90K,+1.12%
530,2022-01-06,79.46,77.24,80.24,76.73,476.67K,+2.07%
531,2022-01-07,78.9,79.62,80.47,78.52,414.43K,-0.70%
532,2022-01-10,78.23,78.88,79.45,77.83,389.96K,-0.85%
533,2022-01-11,81.22,78.42,81.59,78.36,481.82K,+3.82%
534,2022-01-12,82.64,81.38,83.1,81.17,420.62K,+1.75%
535,2022-01-13,82.12,82.82,82.94,81.39,364.77K,-0.63%
536,2022-01-14,83.82,81.73,84.45,81.58,364.44K,+2.07%
537,2022-01-16,83.83,83.78,84.09,83.68,,+0.01%
538,2022-01-17,83.69,83.84,83.95,82.94,,-0.17%
539,2022-01-18,85.43,84.32,86.63,83.5,163.64K,+2.08%
540,2022-01-19,86.96,86.61,87.91,85.77,113.15K,+1.79%
541,2022-01-20,86.9,86.23,87.82,86.0,30.39K,-0.07%
542,2022-01-21,85.14,84.57,85.56,82.78,509.10K,-2.03%
543,2022-01-24,83.31,84.91,86.09,81.9,511.70K,-2.15%
544,2022-01-25,85.6,84.15,85.71,82.99,507.22K,+2.75%
545,2022-01-26,87.35,85.26,87.95,85.01,459.64K,+2.04%
546,2022-01-27,86.61,87.15,88.54,86.2,427.80K,-0.85%
547,2022-01-28,86.82,87.5,88.84,86.44,436.17K,+0.24%
548,2022-01-31,88.15,87.45,88.39,86.34,359.08K,+1.53%
549,2022-02-01,88.2,88.15,88.87,86.55,376.84K,+0.06%
550,2022-02-02,88.26,88.35,89.72,87.1,456.86K,+0.07%
551,2022-02-03,90.27,87.98,90.45,86.75,465.77K,+2.28%
552,2022-02-04,92.31,90.19,93.17,90.07,410.93K,+2.26%
553,2022-02-07,91.32,91.82,92.73,90.73,497.75K,-1.07%
554,2022-02-08,89.36,91.64,91.68,88.51,467.39K,-2.15%
555,2022-02-09,89.66,89.86,90.58,88.41,445.62K,+0.34%
556,2022-02-10,89.88,90.01,91.74,89.03,492.09K,+0.25%
557,2022-02-11,93.1,90.0,94.66,89.19,554.42K,+3.58%
558,2022-02-14,95.46,93.91,95.82,92.09,467.07K,+2.53%
559,2022-02-15,92.07,94.83,95.17,90.66,442.64K,-3.55%
560,2022-02-16,93.66,92.21,95.01,90.0,401.45K,+1.73%
561,2022-02-17,91.76,90.9,93.36,90.62,212.55K,-2.03%
562,2022-02-18,91.07,91.63,92.66,89.03,150.38K,-0.75%
563,2022-02-20,91.62,91.22,91.74,91.08,,+0.60%
564,2022-02-21,92.65,91.62,93.91,89.08,,+1.12%
565,2022-02-22,92.35,91.75,96.0,90.35,40.75K,-0.32%
566,2022-02-23,92.1,91.74,93.9,90.64,440.57K,-0.27%
567,2022-02-24,92.81,92.52,100.54,91.45,872.24K,+0.77%
568,2022-02-25,91.59,93.32,95.64,90.06,523.79K,-1.31%
569,2022-02-28,95.72,94.99,99.1,94.43,490.80K,+4.51%
570,2022-03-01,103.41,96.09,106.78,95.32,698.81K,+8.03%
571,2022-03-02,110.6,107.12,112.51,105.18,651.85K,+6.95%
