,date,kospi,open,high,low,volume,kospi_cr
94,2022-05-19,2592.340087890625,2576.239990234375,2597.7900390625,2568.5400390625,676900,-1.28%
95,2022-05-20,2639.2900390625,2605.780029296875,2641.679931640625,2605.3798828125,752400,1.81%
96,2022-05-23,2647.3798828125,2651.6298828125,2653.8701171875,2634.2900390625,641900,0.31%
97,2022-05-24,2605.8701171875,2638.93994140625,2646.989990234375,2605.8701171875,850700,-1.57%
98,2022-05-25,2617.219970703125,2621.75,2630.169921875,2602.93994140625,710200,0.44%
99,2022-05-26,2612.449951171875,2616.989990234375,2641.909912109375,2602.010009765625,595300,-0.18%
100,2022-05-27,2638.050048828125,2640.75,2644.7099609375,2631.489990234375,590500,0.98%
101,2022-05-30,2669.659912109375,2662.31005859375,2672.739990234375,2654.179931640625,469300,1.20%
102,2022-05-31,2685.89990234375,2666.8798828125,2685.89990234375,2654.320068359375,670700,0.61%
103,2022-06-02,2658.989990234375,2670.739990234375,2674.0,2653.590087890625,524900,-1.00%
104,2022-06-03,2670.64990234375,2679.570068359375,2681.510009765625,2663.0,562200,0.44%
105,2022-06-07,2626.340087890625,2659.27001953125,2662.0400390625,2622.780029296875,524300,-1.66%
106,2022-06-08,2626.14990234375,2633.530029296875,2639.52001953125,2621.9599609375,576000,-0.01%
107,2022-06-09,2625.43994140625,2618.919921875,2627.8798828125,2606.610107421875,814500,-0.03%
108,2022-06-10,2595.8701171875,2596.3701171875,2602.800048828125,2583.739990234375,723800,-1.13%
109,2022-06-13,2504.510009765625,2550.2099609375,2550.320068359375,2504.510009765625,659800,-3.52%
110,2022-06-14,2492.969970703125,2472.9599609375,2503.169921875,2457.389892578125,671200,-0.46%
111,2022-06-15,2447.3798828125,2490.010009765625,2495.5400390625,2436.0400390625,713800,-1.83%
112,2022-06-16,2451.409912109375,2481.659912109375,2500.360107421875,2447.330078125,583800,0.16%
113,2022-06-17,2440.929931640625,2409.719970703125,2441.340087890625,2396.469970703125,634200,-0.43%
114,2022-06-20,2391.030029296875,2449.889892578125,2449.889892578125,2372.35009765625,592100,-2.04%
115,2022-06-21,2408.929931640625,2402.989990234375,2423.47998046875,2385.60009765625,479400,0.75%
116,2022-06-22,2342.81005859375,2417.110107421875,2418.050048828125,2342.81005859375,531800,-2.74%
117,2022-06-23,2314.320068359375,2347.840087890625,2361.22998046875,2306.47998046875,749200,-1.22%
118,2022-06-24,2366.60009765625,2327.110107421875,2373.47998046875,2319.989990234375,654100,2.26%
119,2022-06-27,2401.919921875,2383.199951171875,2418.93994140625,2365.860107421875,509700,1.49%
120,2022-06-28,2422.090087890625,2405.199951171875,2422.10009765625,2393.9599609375,564700,0.84%
121,2022-06-29,2377.989990234375,2387.10009765625,2393.25,2375.449951171875,422100,-1.82%
122,2022-06-30,2332.639892578125,2368.570068359375,2368.570068359375,2332.590087890625,515000,-1.91%
123,2022-07-01,2305.419921875,2342.919921875,2354.969970703125,2291.489990234375,530100,-1.17%
124,2022-07-04,2300.340087890625,2310.72998046875,2318.31005859375,2276.6298828125,467700,-0.22%
125,2022-07-05,2341.780029296875,2322.110107421875,2344.080078125,2309.6201171875,323600,1.80%
126,2022-07-06,2292.010009765625,2330.110107421875,2332.139892578125,2290.330078125,410600,-2.13%
127,2022-07-07,2334.27001953125,2308.969970703125,2344.139892578125,2307.89990234375,340000,1.84%
128,2022-07-08,2350.610107421875,2352.489990234375,2367.840087890625,2348.739990234375,411200,0.70%
129,2022-07-11,2340.27001953125,2357.429931640625,2363.260009765625,2337.820068359375,376900,-0.44%
130,2022-07-12,2317.760009765625,2330.8798828125,2333.02001953125,2303.739990234375,379000,-0.96%
131,2022-07-13,2328.610107421875,2324.449951171875,2341.18994140625,2312.489990234375,308400,0.47%
132,2022-07-14,2322.320068359375,2316.409912109375,2338.2900390625,2307.68994140625,348900,-0.27%
133,2022-07-15,2330.97998046875,2335.1201171875,2337.300048828125,2293.449951171875,319300,0.37%
134,2022-07-18,2375.25,2350.47998046875,2376.5,2344.1201171875,324100,1.90%
135,2022-07-19,2370.969970703125,2367.52001953125,2372.739990234375,2359.590087890625,339200,-0.18%
136,2022-07-20,2386.85009765625,2406.2900390625,2410.06005859375,2382.64990234375,333000,0.67%
137,2022-07-21,2409.159912109375,2387.909912109375,2411.9599609375,2387.909912109375,295500,0.93%
138,2022-07-22,2393.139892578125,2405.3701171875,2417.909912109375,2391.47998046875,381400,-0.66%
139,2022-07-25,2403.68994140625,2385.64990234375,2412.469970703125,2385.64990234375,322900,0.44%
140,2022-07-26,2412.9599609375,2397.27001953125,2415.389892578125,2395.169921875,415100,0.39%
141,2022-07-27,2415.530029296875,2412.52001953125,2415.530029296875,2396.18994140625,333400,0.11%
142,2022-07-28,2435.27001953125,2437.570068359375,2443.429931640625,2429.070068359375,490900,0.82%
143,2022-07-29,2451.5,2453.530029296875,2463.050048828125,2442.010009765625,499000,0.67%
144,2022-08-01,2452.25,2444.050048828125,2461.39990234375,2437.1298828125,487000,0.03%
145,2022-08-02,2439.6201171875,2451.0,2451.070068359375,2428.760009765625,549800,-0.52%
146,2022-08-03,2461.449951171875,2438.56005859375,2461.449951171875,2433.1201171875,475200,0.89%
147,2022-08-04,2473.110107421875,2478.43994140625,2478.949951171875,2465.320068359375,398500,0.47%
148,2022-08-05,2490.800048828125,2481.429931640625,2497.580078125,2480.050048828125,409400,0.72%
149,2022-08-08,2493.10009765625,2481.169921875,2494.0,2477.760009765625,418100,0.09%
150,2022-08-09,2503.4599609375,2493.570068359375,2506.489990234375,2481.360107421875,454200,0.42%
151,2022-08-10,2480.8798828125,2493.699951171875,2494.14990234375,2478.2099609375,479300,-0.90%
152,2022-08-11,2523.780029296875,2507.739990234375,2523.780029296875,2506.409912109375,505100,1.73%
153,2022-08-12,2527.93994140625,2519.659912109375,2533.199951171875,2514.31005859375,445100,0.16%
154,2022-08-16,2533.52001953125,2543.050048828125,2546.35009765625,2532.199951171875,398100,0.22%
155,2022-08-17,2516.469970703125,2536.570068359375,2543.14990234375,2512.010009765625,417800,-0.67%
156,2022-08-18,2508.050048828125,2499.300048828125,2515.3701171875,2488.090087890625,381400,-0.33%
157,2022-08-19,2492.68994140625,2510.719970703125,2510.719970703125,2492.68994140625,459700,-0.61%
158,2022-08-22,2462.5,2467.3798828125,2475.77001953125,2457.080078125,422400,-1.21%
159,2022-08-23,2435.340087890625,2449.31005859375,2454.550048828125,2431.830078125,471000,-1.10%
160,2022-08-24,2447.449951171875,2446.179931640625,2454.010009765625,2430.68994140625,423300,0.50%
161,2022-08-25,2477.260009765625,2459.7900390625,2477.260009765625,2455.320068359375,426000,1.22%
162,2022-08-26,2481.030029296875,2489.139892578125,2497.760009765625,2476.75,519900,0.15%
163,2022-08-29,2426.889892578125,2432.06005859375,2432.889892578125,2417.010009765625,447200,-2.18%
164,2022-08-30,2450.929931640625,2441.2099609375,2453.909912109375,2433.47998046875,336200,0.99%
165,2022-08-31,2472.050048828125,2433.469970703125,2473.75,2426.139892578125,435900,0.86%
166,2022-09-01,2415.610107421875,2443.0,2443.610107421875,2415.610107421875,579300,-2.28%
167,2022-09-02,2409.409912109375,2427.699951171875,2432.3701171875,2402.669921875,391400,-0.26%
168,2022-09-05,2403.679931640625,2410.070068359375,2424.77001953125,2392.6298828125,354700,-0.24%
169,2022-09-06,2410.02001953125,2409.719970703125,2422.530029296875,2399.260009765625,294100,0.26%
170,2022-09-07,2376.4599609375,2395.659912109375,2398.39990234375,2365.35009765625,377900,-1.39%
171,2022-09-08,2384.280029296875,2393.27001953125,2394.06005859375,2379.06005859375,423600,0.33%
172,2022-09-13,2449.5400390625,2418.590087890625,2453.949951171875,2418.590087890625,366900,2.74%
173,2022-09-14,2411.419921875,2390.469970703125,2418.419921875,2381.5,461300,-1.56%
174,2022-09-15,2401.830078125,2416.010009765625,2421.6298828125,2401.830078125,423900,-0.40%
175,2022-09-16,2382.780029296875,2387.56005859375,2395.10009765625,2371.110107421875,440300,-0.79%
176,2022-09-19,2355.659912109375,2388.72998046875,2389.85009765625,2352.760009765625,403700,-1.14%
177,2022-09-20,2367.85009765625,2373.639892578125,2382.52001953125,2359.840087890625,419200,0.52%
178,2022-09-21,2347.2099609375,2351.5400390625,2360.27001953125,2341.7900390625,378000,-0.87%
179,2022-09-22,2332.31005859375,2319.699951171875,2335.110107421875,2309.10009765625,446600,-0.63%
180,2022-09-23,2290.0,2331.330078125,2334.06005859375,2285.7099609375,446300,-1.81%
181,2022-09-26,2220.93994140625,2260.800048828125,2260.800048828125,2215.360107421875,621400,-3.02%
182,2022-09-27,2223.860107421875,2224.389892578125,2227.35009765625,2197.89990234375,487600,0.13%
183,2022-09-28,2169.2900390625,2206.14990234375,2223.56005859375,2151.60009765625,595700,-2.45%
184,2022-09-29,2170.929931640625,2197.75,2210.610107421875,2170.139892578125,508200,0.08%
185,2022-09-30,2155.489990234375,2161.110107421875,2177.199951171875,2134.77001953125,950000,-0.71%
186,2022-10-04,2209.3798828125,2189.510009765625,2212.3798828125,2180.840087890625,420700,2.50%
187,2022-10-05,2215.219970703125,2248.85009765625,2253.929931640625,2204.030029296875,855400,0.26%
188,2022-10-06,2237.860107421875,2230.429931640625,2250.8701171875,2223.360107421875,642700,1.02%
189,2022-10-07,2232.840087890625,2217.840087890625,2245.8798828125,2215.080078125,428500,-0.22%
190,2022-10-11,2192.070068359375,2193.02001953125,2193.050048828125,2174.06005859375,859100,-1.83%
191,2022-10-12,2202.469970703125,2191.35009765625,2205.02001953125,2181.64990234375,658000,0.47%
192,2022-10-13,2162.8701171875,2198.2900390625,2198.340087890625,2162.8701171875,792200,-1.80%
193,2022-10-14,2212.550048828125,2200.659912109375,2220.5400390625,2193.6298828125,512900,2.30%
194,2022-10-17,2219.7099609375,2187.169921875,2221.050048828125,2177.659912109375,498500,0.32%
195,2022-10-18,2249.949951171875,2249.14990234375,2251.739990234375,2220.7099609375,580700,1.36%
196,2022-10-19,2237.43994140625,2249.35009765625,2266.800048828125,2234.590087890625,895000,-0.56%
197,2022-10-20,2218.090087890625,2225.530029296875,2231.52001953125,2200.43994140625,1108000,-0.86%
198,2022-10-21,2213.1201171875,2210.590087890625,2224.0400390625,2204.639892578125,637400,-0.22%
199,2022-10-24,2236.159912109375,2248.260009765625,2256.669921875,2229.85009765625,444700,1.04%
200,2022-10-25,2235.070068359375,2237.0400390625,2253.239990234375,2230.75,456700,-0.05%
201,2022-10-26,2249.56005859375,2240.699951171875,2258.110107421875,2234.489990234375,563300,0.65%
202,2022-10-27,2288.780029296875,2266.070068359375,2290.56005859375,2262.02001953125,587700,1.74%
203,2022-10-28,2268.39990234375,2276.72998046875,2292.64990234375,2266.43994140625,427100,-0.89%
204,2022-10-31,2293.610107421875,2293.75,2295.510009765625,2273.72998046875,401300,1.11%
205,2022-11-01,2335.219970703125,2301.580078125,2335.570068359375,2297.570068359375,597100,1.81%
206,2022-11-02,2336.8701171875,2326.050048828125,2346.320068359375,2323.3701171875,450200,0.07%
207,2022-11-03,2329.169921875,2297.449951171875,2342.860107421875,2296.43994140625,550300,-0.33%
