,date,dji,open,high,low,volume,dji_cr
597,2024-05-13,39431.51171875,39591.28125,39647.390625,39403.05078125,323370000,-0.21%
598,2024-05-14,39558.109375,39466.76171875,39616.41015625,39371.921875,320860000,0.32%
599,2024-05-15,39908.0,39615.1015625,39935.0390625,39615.1015625,411190000,0.88%
600,2024-05-16,39869.37890625,39912.33984375,40051.05078125,39864.6796875,400560000,-0.10%
601,2024-05-17,40003.58984375,39911.71875,40010.87890625,39858.859375,300260000,0.34%
602,2024-05-20,39806.76953125,39989.76171875,40077.3984375,39787.08984375,272420000,-0.49%
603,2024-05-21,39872.98828125,39804.3984375,39905.80078125,39778.73046875,314120000,0.17%
604,2024-05-22,39671.0390625,39863.328125,39890.91015625,39559.08984375,258430000,-0.51%
605,2024-05-23,39065.26171875,39694.94921875,39694.94921875,39025.51171875,335640000,-1.53%
606,2024-05-24,39069.58984375,39089.23046875,39220.30859375,39020.2890625,249810000,0.01%
607,2024-05-28,38852.859375,39028.98828125,39028.98828125,38706.140625,303340000,-0.55%
608,2024-05-29,38441.5390625,38716.28125,38716.28125,38413.671875,292280000,-1.06%
609,2024-05-30,38111.48046875,38368.3515625,38493.6015625,38000.9609375,360090000,-0.86%
610,2024-05-31,38686.3203125,38140.26171875,38719.4296875,38092.26953125,618200000,1.51%
611,2024-06-03,38571.03125,38709.98828125,38735.609375,38247.21875,314010000,-0.30%
612,2024-06-04,38711.2890625,38518.859375,38786.62109375,38397.8203125,304450000,0.36%
613,2024-06-05,38807.328125,38774.8203125,38844.3203125,38548.76953125,310970000,0.25%
614,2024-06-06,38886.171875,38825.3984375,39004.16015625,38735.98828125,269000000,0.20%
615,2024-06-07,38798.98828125,38861.23828125,39105.23046875,38751.8515625,265850000,-0.22%
616,2024-06-10,38868.0390625,38784.8984375,38877.859375,38665.44921875,330580000,0.18%
617,2024-06-11,38747.421875,38795.7109375,38795.7109375,38446.23828125,383090000,-0.31%
618,2024-06-12,38712.2109375,38950.6484375,39120.26171875,38621.44921875,472280000,-0.09%
619,2024-06-13,38647.1015625,38677.12109375,38712.2109375,38407.69921875,341330000,-0.17%
620,2024-06-14,38589.16015625,38528.390625,38595.23828125,38305.8515625,272200000,-0.15%
621,2024-06-17,38778.1015625,38565.1796875,38839.87890625,38431.94921875,346190000,0.49%
622,2024-06-18,38834.859375,38779.12109375,38936.9296875,38727.671875,324260000,0.15%
623,2024-06-20,39134.76171875,38804.73046875,39232.5,38778.4609375,397010000,0.77%
