,date,fg_index,rating
714,2013-11-04,68,greed
715,2013-11-05,68,greed
716,2013-11-06,68,greed
717,2013-11-07,68,greed
718,2013-11-08,68,greed
719,2013-11-11,67,greed
720,2013-11-12,69,greed
721,2013-11-13,70,greed
722,2013-11-14,70,greed
723,2013-11-15,71,greed
724,2013-11-18,71,greed
725,2013-11-19,67,greed
726,2013-11-20,68,greed
727,2013-11-21,68,greed
728,2013-11-22,68,greed
729,2013-11-25,66,greed
730,2013-11-26,64,greed
731,2013-11-27,67,greed
732,2013-11-29,70,greed
733,2013-12-02,66,greed
734,2013-12-03,65,greed
735,2013-12-04,65,greed
736,2013-12-05,57,greed
737,2013-12-06,63,greed
738,2013-12-09,53,neutral
739,2013-12-10,52,neutral
740,2013-12-11,51,neutral
741,2013-12-12,43,fear
742,2013-12-13,38,fear
743,2013-12-16,45,neutral
744,2013-12-17,38,fear
745,2013-12-18,49,neutral
746,2013-12-19,50,neutral
747,2013-12-20,52,neutral
748,2013-12-23,61,greed
749,2013-12-24,66,greed
750,2013-12-26,63,greed
751,2013-12-27,72,greed
752,2013-12-30,70,greed
753,2013-12-31,77,extreme greed
754,2014-01-02,71,greed
755,2014-01-03,66,greed
756,2014-01-06,64,greed
757,2014-01-07,67,greed
758,2014-01-08,64,greed
759,2014-01-09,68,greed
760,2014-01-10,66,greed
761,2014-01-13,61,greed
762,2014-01-14,68,greed
763,2014-01-15,65,greed
764,2014-01-16,63,greed
765,2014-01-17,59,greed
766,2014-01-21,62,greed
767,2014-01-22,45,neutral
768,2014-01-23,46,neutral
769,2014-01-24,27,fear
770,2014-01-27,25,fear
771,2014-01-28,29,fear
772,2014-01-29,20,extreme fear
773,2014-01-30,18,extreme fear
774,2014-01-31,20,extreme fear
775,2014-02-03,13,extreme fear
776,2014-02-04,15,extreme fear
777,2014-02-05,20,extreme fear
778,2014-02-06,17,extreme fear
779,2014-02-07,22,extreme fear
780,2014-02-10,28,fear
781,2014-02-11,29,fear
782,2014-02-12,32,fear
783,2014-02-13,32,fear
784,2014-02-14,30,fear
785,2014-02-18,42,fear
786,2014-02-19,39,fear
787,2014-02-20,45,neutral
788,2014-02-21,48,neutral
789,2014-02-24,55,greed
790,2014-02-25,57,greed
791,2014-02-26,58,greed
792,2014-02-27,62,greed
793,2014-02-28,56,greed
794,2014-03-03,63,greed
795,2014-03-04,66,greed
796,2014-03-05,78,extreme greed
797,2014-03-06,80,extreme greed
798,2014-03-07,81,extreme greed
799,2014-03-10,81,extreme greed
800,2014-03-11,76,extreme greed
801,2014-03-12,57,greed
802,2014-03-13,49,neutral
803,2014-03-14,44,fear
804,2014-03-17,49,neutral
805,2014-03-18,51,neutral
806,2014-03-19,53,neutral
807,2014-03-20,54,neutral
808,2014-03-21,56,greed
809,2014-03-24,49,neutral
810,2014-03-25,43,fear
811,2014-03-26,43,fear
812,2014-03-27,34,fear
813,2014-03-28,36,fear
814,2014-03-31,50,neutral
815,2014-04-01,51,neutral
816,2014-04-02,53,neutral
817,2014-04-03,51,neutral
818,2014-04-04,49,neutral
819,2014-04-07,35,fear
820,2014-04-08,34,fear
821,2014-04-09,31,fear
822,2014-04-10,31,fear
823,2014-04-11,21,extreme fear
824,2014-04-14,23,extreme fear
825,2014-04-15,23,extreme fear
826,2014-04-16,28,fear
827,2014-04-17,28,fear
828,2014-04-21,38,fear
829,2014-04-22,40,fear
830,2014-04-23,40,fear
831,2014-04-24,39,fear
832,2014-04-25,35,fear
833,2014-04-28,34,fear
834,2014-04-29,34,fear
835,2014-04-30,33,fear
836,2014-05-01,30,fear
837,2014-05-02,32,fear
838,2014-05-05,34,fear
839,2014-05-06,34,fear
840,2014-05-07,33,fear
841,2014-05-08,33,fear
842,2014-05-09,42,fear
843,2014-05-12,45,neutral
844,2014-05-13,39,fear
845,2014-05-14,38,fear
846,2014-05-15,28,fear
847,2014-05-16,28,fear
848,2014-05-19,26,fear
849,2014-05-20,21,extreme fear
850,2014-05-21,29,fear
851,2014-05-22,36,fear
852,2014-05-23,37,fear
853,2014-05-27,40,fear
854,2014-05-28,42,fear
855,2014-05-29,42,fear
856,2014-05-30,45,neutral
857,2014-06-02,58,greed
858,2014-06-03,66,greed
859,2014-06-04,66,greed
860,2014-06-05,81,extreme greed
861,2014-06-06,81,extreme greed
862,2014-06-09,89,extreme greed
863,2014-06-10,90,extreme greed
864,2014-06-11,88,extreme greed
865,2014-06-12,83,extreme greed
866,2014-06-13,85,extreme greed
867,2014-06-16,87,extreme greed
868,2014-06-17,88,extreme greed
869,2014-06-18,94,extreme greed
870,2014-06-19,95,extreme greed
871,2014-06-20,95,extreme greed
872,2014-06-23,93,extreme greed
873,2014-06-24,83,extreme greed
874,2014-06-25,83,extreme greed
875,2014-06-26,77,extreme greed
876,2014-06-27,76,extreme greed
877,2014-06-30,87,extreme greed
878,2014-07-01,87,extreme greed
879,2014-07-02,87,extreme greed
880,2014-07-03,86,extreme greed
881,2014-07-07,68,greed
882,2014-07-08,74,greed
883,2014-07-09,62,greed
884,2014-07-10,56,greed
885,2014-07-11,57,greed
886,2014-07-14,59,greed
887,2014-07-15,56,greed
888,2014-07-16,55,greed
889,2014-07-17,32,fear
890,2014-07-18,46,neutral
891,2014-07-21,37,fear
892,2014-07-22,38,fear
893,2014-07-23,39,fear
894,2014-07-24,42,fear
895,2014-07-25,34,fear
896,2014-07-28,34,fear
897,2014-07-29,31,fear
898,2014-07-30,26,fear
899,2014-07-31,10,extreme fear
900,2014-08-01,5,extreme fear
901,2014-08-04,5,extreme fear
902,2014-08-05,5,extreme fear
903,2014-08-06,5,extreme fear
904,2014-08-07,5,extreme fear
905,2014-08-08,10,extreme fear
906,2014-08-11,7,extreme fear
907,2014-08-12,8,extreme fear
908,2014-08-13,13,extreme fear
909,2014-08-14,16,extreme fear
910,2014-08-15,14,extreme fear
911,2014-08-18,26,fear
912,2014-08-19,31,fear
913,2014-08-20,37,fear
914,2014-08-21,36,fear
915,2014-08-22,37,fear
916,2014-08-25,35,fear
917,2014-08-26,36,fear
918,2014-08-27,33,fear
919,2014-08-28,33,fear
920,2014-08-29,41,fear
921,2014-09-02,48,neutral
922,2014-09-03,48,neutral
923,2014-09-04,47,neutral
924,2014-09-05,50,neutral
925,2014-09-08,47,neutral
