,date,ixut,open,high,low,volume,ixut_cr
197,2022-12-15,370.3699951171875,376.6000061035156,378.5299987792969,369.8800048828125,175000,-2.41%
198,2022-12-16,369.1000061035156,365.7699890136719,370.70001220703125,364.6000061035156,446700,-0.34%
199,2022-12-19,365.7799987792969,370.25,371.30999755859375,364.80999755859375,171500,-0.90%
200,2022-12-20,366.239990234375,365.75,367.7900085449219,363.3699951171875,148800,0.13%
201,2022-12-21,371.2200012207031,369.5899963378906,372.5199890136719,368.3999938964844,130000,1.36%
202,2022-12-22,368.07000732421875,368.4100036621094,368.8500061035156,363.010009765625,167600,-0.85%
203,2022-12-23,370.8299865722656,368.7300109863281,370.8900146484375,366.3699951171875,106500,0.75%
204,2022-12-27,370.69000244140625,371.32000732421875,372.3399963378906,368.2099914550781,115600,-0.04%
205,2022-12-28,366.6600036621094,371.0799865722656,372.44000244140625,366.4100036621094,153700,-1.09%
206,2022-12-29,371.0799865722656,369.3399963378906,372.8500061035156,368.489990234375,114900,1.21%
207,2022-12-30,371.45001220703125,368.7099914550781,371.5799865722656,367.1700134277344,102600,0.10%
208,2023-01-03,373.8599853515625,372.510009765625,374.2799987792969,368.75,130400,0.65%
209,2023-01-04,378.19000244140625,378.69000244140625,380.1700134277344,375.0400085449219,149400,1.16%
210,2023-01-05,381.3900146484375,379.760009765625,382.6700134277344,376.9800109863281,137800,0.85%
211,2023-01-06,391.95001220703125,386.1199951171875,393.4599914550781,384.8500061035156,130100,2.77%
212,2023-01-09,392.3599853515625,391.3999938964844,395.70001220703125,390.92999267578125,137600,0.10%
213,2023-01-10,395.260009765625,392.4800109863281,395.3699951171875,392.0400085449219,133100,0.74%
214,2023-01-11,396.7699890136719,396.260009765625,397.05999755859375,393.3999938964844,105700,0.38%
215,2023-01-12,400.4100036621094,396.760009765625,400.7900085449219,393.8299865722656,161000,0.92%
216,2023-01-13,401.0,398.8599853515625,401.70001220703125,397.5199890136719,115300,0.15%
217,2023-01-17,397.6000061035156,400.4800109863281,401.0799865722656,396.3800048828125,137400,-0.85%
218,2023-01-18,391.3399963378906,397.4200134277344,398.80999755859375,391.2799987792969,155200,-1.57%
219,2023-01-19,389.1300048828125,390.45001220703125,390.5400085449219,386.4200134277344,162200,-0.56%
220,2023-01-20,395.0199890136719,386.9599914550781,395.19000244140625,386.0,270100,1.51%
221,2023-01-23,399.19000244140625,395.6499938964844,400.8399963378906,395.44000244140625,149500,1.06%
222,2023-01-24,398.6600036621094,398.3500061035156,401.1300048828125,397.2699890136719,185300,-0.13%
223,2023-01-25,402.9700012207031,398.57000732421875,403.2699890136719,397.0199890136719,184700,1.08%
