,date,lmt,open,high,low,volume,lmt_cr
583,2024-04-23,438.7000427246094,444.4498271084414,451.53457669004405,436.3925165616307,1789500,-0.27%
584,2024-04-24,437.8037414550781,441.1983056424681,442.14229095149244,434.8668530056763,1018900,-0.20%
585,2024-04-25,443.1816711425781,436.669074062394,443.96357272451127,436.2685786596345,927700,1.23%
586,2024-04-26,439.8538818359375,442.34258128130585,444.3450001921862,437.8324027999845,858000,-0.75%
587,2024-04-29,445.82293701171875,440.52131257354665,445.91829583099474,440.4927078377065,951500,1.36%
588,2024-04-30,443.32470703125,445.3747907627648,446.2329910638228,442.0755850278859,711800,-0.56%
589,2024-05-01,440.27337646484375,441.11245834335676,443.77281494399125,439.1577336647636,994700,-0.69%
590,2024-05-02,441.6750793457031,439.67266065409444,442.0564855013847,437.6702419624858,1011400,0.32%
591,2024-05-03,440.445068359375,441.41765853341496,441.41765853341496,435.9253452396107,910700,-0.28%
592,2024-05-06,441.2745666503906,441.63691266886684,441.9611093434447,438.7953830866161,796300,0.19%
593,2024-05-07,444.99334716796875,442.4378939025658,445.1173107165649,441.6369322417421,723400,0.84%
594,2024-05-08,444.49749755859375,445.77522412082754,446.2519890664113,442.22809176170733,599000,-0.11%
595,2024-05-09,446.6239013671875,444.42122044022113,446.97670278813393,443.5916540505526,594800,0.48%
596,2024-05-10,447.0911560058594,447.20557495121795,448.75028891241203,446.23298481624346,482500,0.10%
597,2024-05-13,448.693115234375,448.04472175933284,450.3999422372741,447.68237567050664,634300,0.36%
598,2024-05-14,445.4700927734375,449.2174583056215,449.2174583056215,445.1077467546551,565500,-0.72%
599,2024-05-15,442.51416015625,444.61193765645754,445.67988652949987,441.97067020797175,803900,-0.66%
600,2024-05-16,443.2293395996094,442.05651631661806,446.55717910601487,431.94909243964617,1130800,0.16%
601,2024-05-17,444.53570556640625,444.19241962858337,445.2985179402377,441.6274215548921,677200,0.29%
602,2024-05-20,445.374755859375,446.0326938522634,446.9862238014436,443.31515677663936,735200,0.19%
603,2024-05-21,446.5476379394531,446.2520459634571,447.31999492182035,445.1459476567447,558900,0.26%
604,2024-05-22,447.882568359375,445.7466704702032,448.0637413874129,445.0887324419447,548700,0.30%
605,2024-05-23,445.374755859375,446.337830419863,447.8539395471286,444.56427868211154,867000,-0.56%
606,2024-05-24,445.6322326660156,445.9373692371051,446.8813545857741,443.83959168514616,513700,0.06%
607,2024-05-28,437.1744384765625,443.9730828335279,444.34497349580886,436.0015861179369,1150400,-1.90%
608,2024-05-29,431.6820983886719,434.79061546898197,434.80967559299535,430.8048379938158,1268000,-1.26%
609,2024-05-30,439.5201416015625,433.85617080203883,441.42720169300003,433.85617080203883,1173600,1.82%
610,2024-05-31,448.4833068847656,439.4819811525592,448.5023670094047,438.1375003301199,1651600,2.04%
611,2024-06-03,448.8769226074219,447.3409820459921,451.6799870335738,446.3906318235431,990100,0.09%
612,2024-06-04,450.1152648925781,448.7905165635997,451.3344024801597,447.4945658376152,845800,0.28%
613,2024-06-05,446.601806640625,449.6640786778472,450.0768540820801,445.0562571728384,915300,-0.78%
614,2024-06-06,449.8560791015625,446.6018326220806,450.97924426434037,445.75706383223576,768100,0.73%
615,2024-06-07,451.3055725097656,450.0384194776546,456.25896493886876,449.85602490656464,1042800,0.32%
616,2024-06-10,448.74249267578125,451.9007664582654,451.9007664582654,447.1105797104517,900400,-0.57%
617,2024-06-11,444.26904296875,447.03372975954744,447.8976870577652,444.0578508029078,908300,-1.00%
618,2024-06-12,440.726806640625,443.78907850147374,444.68186272570955,439.34449249392884,1026400,-0.80%
619,2024-06-13,440.1988525390625,440.27566567435616,441.341206237629,437.7509684967785,742000,-0.12%
620,2024-06-14,439.9876708984375,438.22134958753594,440.19886308211204,436.2438360929599,702800,-0.05%
621,2024-06-17,440.6308288574219,439.4212710360592,440.8036144617233,438.03892761039504,669700,0.15%
622,2024-06-18,441.5811767578125,441.3891732235803,442.25315983199874,439.0756976211524,657900,0.22%
623,2024-06-20,447.6673278808594,441.5811906384053,448.77127499832994,440.7748285014104,1041400,1.38%
624,2024-06-21,448.8769226074219,448.4449292541471,450.9888152457119,445.08507209285744,3363500,0.27%
625,2024-06-24,452.6303405761719,450.18242720747793,456.6429627247138,449.0880890286155,1031500,0.84%
626,2024-06-25,449.3280944824219,451.96798219257533,452.73593780818663,447.9745485410131,711200,-0.73%
627,2024-06-26,448.2912902832031,448.30089924879405,449.35686011685664,445.1522345757882,932100,-0.23%
628,2024-06-27,448.4256591796875,450.1055874552461,450.1055874552461,446.6785267421568,871000,0.03%
629,2024-06-28,448.39691162109375,451.2287734528327,452.8607156780315,446.256192233201,3472500,-0.01%
630,2024-07-01,447.7633361816406,451.9199462988505,452.79351261724275,446.1506118841292,562500,-0.14%
631,2024-07-02,447.052978515625,446.95697674350885,447.98414004345926,445.44022491270533,502500,-0.16%
632,2024-07-03,447.3697204589844,446.8513343627675,447.79210478988324,445.54580410044423,313300,0.07%
633,2024-07-05,443.65472412109375,446.3618159540781,446.3810045906451,441.2836238496151,631400,-0.83%
634,2024-07-08,443.2707214355469,444.1538673981007,445.96820415099944,442.65633355235576,447700,-0.09%
635,2024-07-09,441.869140625,443.2131067364527,444.0962526601568,441.3507838289401,537100,-0.32%
636,2024-07-10,442.5507507324219,441.9363628511484,442.9155398749747,438.94129516900676,656000,0.15%
637,2024-07-11,441.9459533691406,441.5043804076739,447.1201174294663,437.8469094649131,1132900,-0.14%
638,2024-07-12,445.1618957519531,443.8467270237014,446.28503162399807,441.13005534488815,579400,0.73%
639,2024-07-15,445.30584716796875,448.0225186234566,448.54090475789485,444.24988626286415,783000,0.03%
640,2024-07-16,449.817626953125,445.1810373410825,450.4032172440545,445.1810373410825,736400,1.01%
641,2024-07-17,457.00775146484375,451.1807924967541,457.689314246478,450.89281647511376,1123100,1.60%
642,2024-07-18,456.9405822753906,455.5006434656993,461.6059699568882,454.0798932937103,981100,-0.01%
643,2024-07-19,455.9037780761719,460.3387843278925,460.3387843278925,453.87824918847787,889400,-0.23%
644,2024-07-22,455.58697509765625,455.98056183492577,457.0653202798543,453.91665567732446,881600,-0.07%
645,2024-07-23,481.2178649902344,469.266363481636,481.6786265703013,463.52579799976667,2579100,5.63%
646,2024-07-24,494.5709533691406,484.7793585669628,498.7851879936339,481.3331088205462,2580100,2.77%
647,2024-07-25,500.5227355957031,494.3789734598925,505.6008985214965,492.3342557367286,1923900,1.20%
648,2024-07-26,503.7864990234375,501.3769924271117,507.4727675651124,499.1883162549069,1141300,0.65%
649,2024-07-29,506.51275634765625,502.0585327409809,508.2598886741861,498.4682956290576,961200,0.54%
650,2024-07-30,516.131591796875,506.81042629212925,516.8996059615902,504.0073620829334,1234200,1.90%
651,2024-07-31,520.2210693359375,521.2578416696729,525.0976784407202,516.6308313296097,1481500,0.79%
652,2024-08-01,526.8831176757812,522.2561079574871,527.1327164069602,519.0402685303773,1271700,1.28%
653,2024-08-02,526.7968139648438,529.0526945842414,538.6522863114794,519.7123105828414,1484800,-0.02%
654,2024-08-05,523.5425415039062,531.010993445842,540.0730104353333,516.6884189069084,1683800,-0.62%
655,2024-08-06,519.8754272460938,524.1184298943632,527.4782866111889,519.4722608456251,1033700,-0.70%
656,2024-08-07,526.5471801757812,518.2531194133238,530.0606047340596,515.2484427152895,1306600,1.28%
657,2024-08-08,529.53271484375,523.6673779097958,531.5102285478025,521.9202450502911,846300,0.57%
658,2024-08-09,529.4942016601562,530.0509356944945,531.4428879628349,526.1823313916902,825100,-0.01%
659,2024-08-12,534.6107788085938,529.0046506622721,535.2347756393281,528.3614944922277,793700,0.97%
660,2024-08-13,537.0202026367188,534.6011460002924,537.2794102943241,530.1949087772153,793600,0.45%
661,2024-08-14,540.6680908203125,535.733945989602,541.6280498397794,534.6971738430282,796700,0.68%
662,2024-08-15,537.8555297851562,539.3050775806219,541.4938127240096,536.4540268236551,974600,-0.52%
663,2024-08-16,537.7018432617188,538.8249788943249,539.900128294832,534.6971668826011,912000,-0.03%
664,2024-08-19,536.0315551757812,533.0844738218317,540.2265715932066,533.017269656481,709700,-0.31%
665,2024-08-20,534.7068481445312,535.6283714174227,536.5211849749201,528.8991070853492,972200,-0.25%
666,2024-08-21,531.5869750976562,536.0219815733877,537.5675017046642,531.1549817726165,883100,-0.58%
667,2024-08-22,534.72607421875,531.990155482554,535.8299920880866,531.1166184349484,774500,0.59%
668,2024-08-23,532.7869873046875,535.6572560584273,536.4924159101421,530.6462969481382,870400,-0.36%
669,2024-08-26,535.753173828125,533.842864509738,537.7115279766273,533.842864509738,795400,0.56%
670,2024-08-27,537.9706420898438,537.049118871707,539.6793973755596,534.7164253389199,749600,0.41%
