,date,bond_usa_3m,open,high,low,bond_usa_3m_cr
399,2023-07-05,5.36,5.4,5.4,5.345,-0.46
400,2023-07-06,5.38,5.389,5.467,5.352,0.37
401,2023-07-07,5.388,5.425,5.443,5.358,0.15
402,2023-07-10,5.39,5.401,5.432,5.365,0.04
403,2023-07-11,5.412,5.45,5.45,5.407,0.41
404,2023-07-12,5.399,5.417,5.451,5.388,-0.24
405,2023-07-13,5.395,5.454,5.476,5.388,-0.07
406,2023-07-14,5.411,5.427,5.456,5.39,0.3
407,2023-07-17,5.403,5.392,5.457,5.392,-0.15
408,2023-07-18,5.412,5.457,5.457,5.407,0.17
409,2023-07-19,5.412,5.452,5.452,5.409,0.0
410,2023-07-20,5.416,5.448,5.503,5.409,0.07
411,2023-07-21,5.424,5.445,5.469,5.411,0.15
412,2023-07-24,5.418,5.453,5.486,5.418,-0.11
413,2023-07-25,5.439,5.432,5.439,5.426,0.38
