일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2022/07/19","2370.97","-4.28","-0.18","2367.52","2372.74","2359.59","339378.0","6556191.0","1.86939706E9"
"2022/07/18","2375.25","44.27","1.90","2350.48","2376.50","2344.12","324357.0","7104661.0","1.87310766E9"
"2022/07/15","2330.98","8.66","0.37","2335.12","2337.30","2293.45","319675.0","7383211.0","1.837255296E9"
"2022/07/14","2322.32","-6.29","-0.27","2316.41","2338.29","2307.69","349138.0","6539857.0","1.829593432E9"
"2022/07/13","2328.61","10.85","0.47","2324.45","2341.19","2312.49","308806.0","5998501.0","1.832979142E9"
"2022/07/12","2317.76","-22.51","-0.96","2330.88","2333.02","2303.74","379308.0","6369258.0","1.82499412E9"
"2022/07/11","2340.27","-10.34","-0.44","2357.43","2363.26","2337.82","377108.0","6301234.0","1.843259953E9"
"2022/07/08","2350.61","16.34","0.70","2352.49","2367.84","2348.74","411425.0","7008118.0","1.850893574E9"
"2022/07/07","2334.27","42.26","1.84","2308.97","2344.14","2307.90","340173.0","7652636.0","1.837885178E9"
"2022/07/06","2292.01","-49.77","-2.13","2330.11","2332.14","2290.33","410732.0","8919472.0","1.804225454E9"
"2022/07/05","2341.78","41.44","1.80","2322.11","2344.08","2309.62","323905.0","6890579.0","1.842519185E9"
"2022/07/04","2300.34","-5.08","-0.22","2310.73","2318.31","2276.63","467960.0","7339365.0","1.810669975E9"
"2022/07/01","2305.42","-27.22","-1.17","2342.92","2354.97","2291.49","530346.0","8687669.0","1.814290028E9"
"2022/06/30","2332.64","-45.35","-1.91","2368.57","2368.57","2332.59","515396.0","8923481.0","1.835493487E9"
"2022/06/29","2377.99","-44.10","-1.82","2387.10","2393.25","2375.45","422127.0","7965810.0","1.871275786E9"
"2022/06/28","2422.09","20.17","0.84","2405.20","2422.10","2393.96","564986.0","7193434.0","1.906214561E9"
"2022/06/27","2401.92","35.32","1.49","2383.20","2418.94","2365.86","510587.0","7656358.0","1.890525945E9"
"2022/06/24","2366.60","52.28","2.26","2327.11","2373.48","2319.99","654446.0","8469156.0","1.8623208E9"
"2022/06/23","2314.32","-28.49","-1.22","2347.84","2361.23","2306.48","749661.0","1.0212366E7","1.82118382E9"
"2022/06/22","2342.81","-66.12","-2.74","2417.11","2418.05","2342.81","532139.0","8690134.0","1.843888862E9"
"2022/06/21","2408.93","17.90","0.75","2402.99","2423.48","2385.60","479678.0","7440755.0","1.894965517E9"
"2022/06/20","2391.03","-49.90","-2.04","2449.89","2449.89","2372.35","592702.0","9092289.0","1.881482848E9"
"2022/06/17","2440.93","-10.48","-0.43","2409.72","2441.34","2396.47","634897.0","1.1201572E7","1.92114856E9"
"2022/06/16","2451.41","4.03","0.16","2481.66","2500.36","2447.33","584041.0","9588187.0","1.931070978E9"
"2022/06/15","2447.38","-45.59","-1.83","2490.01","2495.54","2436.04","714143.0","9936928.0","1.926857817E9"
"2022/06/14","2492.97","-11.54","-0.46","2472.96","2503.17","2457.39","671757.0","9992820.0","1.962993357E9"
"2022/06/13","2504.51","-91.36","-3.52","2550.21","2550.32","2504.51","660309.0","1.0335874E7","1.972203678E9"
"2022/06/10","2595.87","-29.57","-1.13","2596.37","2602.80","2583.74","724090.0","8285964.0","2.043213222E9"
"2022/06/09","2625.44","-0.71","-0.03","2618.92","2627.88","2606.61","814883.0","1.0857975E7","2.066451297E9"
"2022/06/08","2626.15","-0.19","-0.01","2633.53","2639.52","2621.96","576390.0","7964335.0","2.066742737E9"
"2022/06/07","2626.34","-44.31","-1.66","2659.27","2662.04","2622.78","524710.0","8948924.0","2.067165431E9"
"2022/06/03","2670.65","11.66","0.44","2679.57","2681.51","2663.00","562470.0","7566758.0","2.101703362E9"
