,date,ixbk,open,high,low,volume,ixbk_cr
402,2023-08-28,3182.10009765625,3163.31005859375,3196.239990234375,3161.35009765625,37800,1.21%
403,2023-08-29,3212.2900390625,3182.429931640625,3220.64990234375,3172.22998046875,42400,0.95%
404,2023-08-30,3186.219970703125,3208.06005859375,3210.97998046875,3183.280029296875,49500,-0.81%
405,2023-08-31,3192.5,3188.530029296875,3209.429931640625,3186.18994140625,54100,0.20%
406,2023-09-01,3260.6201171875,3218.830078125,3269.239990234375,3218.830078125,51800,2.13%
407,2023-09-05,3198.0,3243.7099609375,3247.330078125,3198.0,56300,-1.92%
408,2023-09-06,3131.81005859375,3188.260009765625,3204.969970703125,3126.360107421875,55900,-2.07%
409,2023-09-07,3099.010009765625,3118.2900390625,3133.4599609375,3092.77001953125,77300,-1.05%
410,2023-09-08,3123.989990234375,3109.2900390625,3131.5400390625,3080.389892578125,57200,0.81%
411,2023-09-11,3106.699951171875,3141.5400390625,3159.0,3104.5400390625,56300,-0.55%
412,2023-09-12,3139.679931640625,3115.080078125,3154.909912109375,3106.679931640625,63000,1.06%
413,2023-09-13,3109.070068359375,3155.199951171875,3158.510009765625,3095.679931640625,67000,-0.97%
414,2023-09-14,3162.72998046875,3139.159912109375,3162.72998046875,3136.6201171875,66500,1.73%
415,2023-09-15,3134.77001953125,3143.489990234375,3160.889892578125,3123.22998046875,180300,-0.88%
416,2023-09-18,3089.4599609375,3131.969970703125,3131.969970703125,3089.4599609375,51800,-1.45%
417,2023-09-19,3078.010009765625,3096.580078125,3106.6201171875,3066.179931640625,52300,-0.37%
418,2023-09-20,3061.39990234375,3101.5,3119.300048828125,3061.39990234375,51000,-0.54%
419,2023-09-21,3027.949951171875,3043.070068359375,3057.030029296875,3023.6201171875,0,-1.09%
420,2023-09-22,3010.699951171875,3033.25,3034.93994140625,3004.5400390625,0,-0.57%
421,2023-09-25,3044.090087890625,3004.669921875,3045.7099609375,3001.7900390625,47800,1.11%
422,2023-09-26,2996.68994140625,3016.139892578125,3048.75,2996.68994140625,56300,-1.56%
423,2023-09-27,2985.22998046875,3009.909912109375,3011.239990234375,2969.85009765625,57500,-0.38%
424,2023-09-28,3007.260009765625,2985.929931640625,3027.4599609375,2985.739990234375,62600,0.74%
425,2023-09-29,3033.280029296875,3032.679931640625,3064.030029296875,3025.030029296875,60500,0.87%
426,2023-10-02,2968.75,3028.139892578125,3031.489990234375,2959.010009765625,64600,-2.13%
