,date,kosdaq,open,high,low,volume,kosdaq_cr
219,2022-11-10,707.78,708.49,712.48,705.7,1.04B,-0.95
220,2022-11-11,731.22,727.22,732.12,724.53,1.08B,3.31
221,2022-11-14,729.54,732.29,734.73,728.81,1.10B,-0.23
222,2022-11-15,744.96,730.33,744.96,730.33,1.13B,2.11
223,2022-11-16,743.1,746.55,746.62,737.87,1.19B,-0.25
224,2022-11-17,737.54,740.62,742.29,735.04,978.99M,-0.75
225,2022-11-18,731.92,738.34,742.17,731.53,1.30B,-0.76
226,2022-11-21,718.57,733.0,733.65,717.55,981.80M,-1.82
227,2022-11-22,712.26,716.24,719.8,711.92,895.81M,-0.88
228,2022-11-23,725.59,718.29,725.64,718.29,830.06M,1.87
229,2022-11-24,738.22,729.41,738.7,729.41,793.57M,1.74
230,2022-11-25,733.56,737.46,737.53,732.48,710.33M,-0.63
231,2022-11-28,717.9,731.81,731.81,717.13,878.68M,-2.13
232,2022-11-29,727.54,715.02,727.6,713.26,794.01M,1.34
233,2022-11-30,729.54,726.56,729.54,722.4,813.57M,0.27
234,2022-12-01,740.6,740.97,744.56,739.16,825.11M,1.52
235,2022-12-02,732.95,740.13,740.18,732.41,856.59M,-1.03
236,2022-12-05,733.32,736.45,739.77,731.07,1.06B,0.05
237,2022-12-06,719.44,726.32,727.34,719.29,926.87M,-1.89
238,2022-12-07,718.14,715.63,722.62,711.63,982.85M,-0.18
239,2022-12-08,712.52,718.37,719.69,711.08,1.07B,-0.78
240,2022-12-09,719.49,717.24,721.14,712.4,1.28B,0.98
241,2022-12-12,715.22,716.88,718.31,714.26,964.00M,-0.59
242,2022-12-13,715.16,717.64,719.33,712.21,1.19B,-0.01
243,2022-12-14,729.0,718.17,729.17,718.17,1.08B,1.94
244,2022-12-15,722.68,725.32,730.51,721.46,957.41M,-0.87
245,2022-12-16,717.41,711.33,720.48,710.2,889.44M,-0.73
246,2022-12-19,717.22,716.8,722.42,714.63,776.38M,-0.03
247,2022-12-20,703.13,715.13,715.29,701.44,977.95M,-1.96
248,2022-12-21,705.7,708.13,709.95,701.61,938.03M,0.37
249,2022-12-22,715.02,710.47,715.35,709.52,851.99M,1.32
250,2022-12-23,691.25,704.93,704.93,691.25,1.11B,-3.32
251,2022-12-26,694.68,691.94,696.96,686.8,797.71M,0.5
252,2022-12-27,704.19,697.25,704.21,697.25,901.44M,1.37
