,date,ixfn,open,high,low,volume,ixfn_cr
245,2022-12-15,8402.5400390625,8472.1298828125,8500.330078125,8383.1201171875,246500,-2.11%
246,2022-12-16,8298.650390625,8326.080078125,8360.9501953125,8246.3896484375,452500,-1.24%
247,2022-12-19,8218.1201171875,8279.8701171875,8289.7197265625,8191.27978515625,216900,-0.97%
248,2022-12-20,8200.9501953125,8193.4404296875,8238.6396484375,8173.27001953125,258000,-0.21%
249,2022-12-21,8318.6103515625,8251.9404296875,8342.9599609375,8240.48046875,231600,1.43%
250,2022-12-22,8248.330078125,8248.6298828125,8250.7197265625,8131.3798828125,251200,-0.84%
251,2022-12-23,8288.7197265625,8235.01953125,8290.8701171875,8195.580078125,148300,0.49%
252,2022-12-27,8221.400390625,8269.9296875,8270.009765625,8202.58984375,185800,-0.81%
253,2022-12-28,8150.43994140625,8234.26953125,8254.0400390625,8144.08984375,180900,-0.86%
254,2022-12-29,8296.8896484375,8194.900390625,8306.6796875,8188.2099609375,204100,1.80%
255,2022-12-30,8224.599609375,8209.1103515625,8249.599609375,8160.33984375,220000,-0.87%
256,2023-01-03,8241.4296875,8297.41015625,8330.9404296875,8187.18017578125,231000,0.20%
257,2023-01-04,8362.9296875,8304.5302734375,8403.080078125,8297.919921875,279700,1.47%
258,2023-01-05,8229.009765625,8300.7998046875,8308.6396484375,8222.240234375,304500,-1.60%
259,2023-01-06,8429.1396484375,8282.7900390625,8437.9599609375,8222.33984375,268300,2.43%
260,2023-01-09,8509.7802734375,8473.3203125,8587.599609375,8455.73046875,341300,0.96%
261,2023-01-10,8616.759765625,8507.599609375,8617.3203125,8501.990234375,312100,1.26%
262,2023-01-11,8746.650390625,8654.7900390625,8748.8896484375,8648.98046875,330400,1.51%
263,2023-01-12,8841.5,8760.8095703125,8841.98046875,8685.6298828125,401400,1.08%
264,2023-01-13,8860.4501953125,8762.01953125,8877.759765625,8762.01953125,373400,0.21%
265,2023-01-17,8861.6796875,8862.1201171875,8887.4404296875,8832.330078125,347200,0.01%
266,2023-01-18,8763.0703125,8890.8603515625,8906.58984375,8762.3701171875,347600,-1.11%
267,2023-01-19,8656.4404296875,8695.6796875,8708.6103515625,8646.0,256500,-1.22%
268,2023-01-20,8822.080078125,8681.23046875,8822.349609375,8640.98046875,280800,1.91%
269,2023-01-23,8865.98046875,8822.2099609375,8893.75,8805.650390625,306600,0.50%
270,2023-01-24,8843.73046875,8853.83984375,8884.990234375,8826.5302734375,264600,-0.25%
271,2023-01-25,8845.1201171875,8740.0,8857.400390625,8707.7099609375,259300,0.02%
272,2023-01-26,8933.4501953125,8881.8798828125,8933.7998046875,8850.1396484375,264500,1.00%
273,2023-01-27,8989.08984375,8910.169921875,9014.0595703125,8898.25,355200,0.62%
274,2023-01-30,8900.900390625,8947.5302734375,9011.4296875,8896.080078125,454600,-0.98%
275,2023-01-31,9024.1201171875,8917.2900390625,9024.1201171875,8909.4296875,373200,1.38%
276,2023-02-01,9125.73046875,8998.5,9179.259765625,8967.7001953125,419900,1.13%
277,2023-02-02,9292.990234375,9217.6796875,9368.5498046875,9217.0703125,563400,1.83%
278,2023-02-03,9154.759765625,9159.099609375,9278.599609375,9123.3203125,359200,-1.49%
279,2023-02-06,9047.5,9052.8701171875,9087.150390625,9019.919921875,287200,-1.17%
280,2023-02-07,9103.6298828125,9009.2099609375,9126.490234375,8965.1396484375,312400,0.62%
281,2023-02-08,9085.5400390625,9080.6396484375,9150.58984375,9074.599609375,373800,-0.20%
282,2023-02-09,8951.419921875,9151.98046875,9151.98046875,8944.0,319600,-1.48%
283,2023-02-10,8941.76953125,8890.7001953125,8949.75,8874.9599609375,247900,-0.11%
284,2023-02-13,9027.1396484375,8959.6103515625,9031.2197265625,8955.98046875,223700,0.95%
285,2023-02-14,9008.9501953125,9007.16015625,9082.400390625,8935.7998046875,283800,-0.20%
286,2023-02-15,9119.1796875,8959.6396484375,9119.1796875,8959.2001953125,327900,1.22%
287,2023-02-16,9075.7998046875,9010.58984375,9134.9404296875,8967.7802734375,334900,-0.48%
288,2023-02-17,9008.5703125,9008.6103515625,9035.41015625,8945.599609375,314000,-0.74%
289,2023-02-21,8835.26953125,8927.509765625,8956.5703125,8822.490234375,286200,-1.92%
290,2023-02-22,8823.9296875,8819.7001953125,8921.0703125,8778.509765625,275200,-0.13%
291,2023-02-23,8780.3896484375,8885.169921875,8900.7998046875,8744.6201171875,259500,-0.49%
292,2023-02-24,8669.4697265625,8695.5,8704.2099609375,8638.1103515625,305400,-1.26%
293,2023-02-27,8678.1103515625,8756.8095703125,8776.349609375,8665.5703125,346000,0.10%
294,2023-02-28,8698.7998046875,8675.2099609375,8755.1103515625,8672.83984375,308600,0.24%
295,2023-03-01,8650.7900390625,8676.2099609375,8695.6904296875,8611.2197265625,265100,-0.55%
296,2023-03-02,8691.7099609375,8583.6904296875,8698.73046875,8563.240234375,366300,0.47%
297,2023-03-03,8790.5595703125,8712.1201171875,8798.4404296875,8711.349609375,250500,1.14%
298,2023-03-06,8736.2900390625,8791.4697265625,8835.6298828125,8722.990234375,265400,-0.62%
299,2023-03-07,8596.4501953125,8731.4501953125,8740.51953125,8589.0400390625,239700,-1.60%
300,2023-03-08,8638.76953125,8593.990234375,8668.9501953125,8582.099609375,224900,0.49%
301,2023-03-09,8414.1298828125,8616.5703125,8620.5400390625,8407.5595703125,329400,-2.60%
302,2023-03-10,8162.75,8353.419921875,8355.9697265625,8144.6298828125,430200,-2.99%
303,2023-03-13,8174.27978515625,8077.27001953125,8259.009765625,8026.759765625,451100,0.14%
304,2023-03-14,8305.7197265625,8340.349609375,8370.650390625,8240.6201171875,406700,1.61%
305,2023-03-15,8254.990234375,8165.759765625,8257.849609375,8155.7001953125,393100,-0.61%
306,2023-03-16,8363.9404296875,8201.9404296875,8392.330078125,8191.60009765625,296400,1.32%
307,2023-03-17,8276.6201171875,8345.01953125,8361.400390625,8254.08984375,481200,-1.04%
308,2023-03-20,8298.25,8308.75,8348.9599609375,8264.01953125,308800,0.26%
309,2023-03-21,8421.2998046875,8386.759765625,8437.0703125,8357.7001953125,311600,1.48%
310,2023-03-22,8203.1796875,8395.4296875,8416.2998046875,8202.33984375,337900,-2.59%
311,2023-03-23,8183.58984375,8187.5400390625,8318.4501953125,8146.68994140625,395900,-0.24%
312,2023-03-24,8257.169921875,8134.18994140625,8257.169921875,8093.52001953125,258300,0.90%
313,2023-03-27,8268.2001953125,8331.98046875,8335.509765625,8251.349609375,251700,0.13%
314,2023-03-28,8268.6396484375,8257.8603515625,8286.7001953125,8230.330078125,222000,0.01%
315,2023-03-29,8389.8603515625,8348.8701171875,8394.66015625,8330.8896484375,266900,1.47%
316,2023-03-30,8423.1396484375,8455.8701171875,8467.66015625,8388.0400390625,233500,0.40%
317,2023-03-31,8586.48046875,8467.9501953125,8588.150390625,8467.5595703125,304900,1.94%
318,2023-04-03,8503.7900390625,8553.1904296875,8570.6201171875,8478.419921875,251800,-0.96%
319,2023-04-04,8465.6298828125,8511.169921875,8522.169921875,8435.580078125,209100,-0.45%
320,2023-04-05,8396.5498046875,8435.1396484375,8441.1103515625,8375.5,249200,-0.82%
321,2023-04-06,8433.169921875,8395.009765625,8441.3896484375,8375.0302734375,183100,0.44%
322,2023-04-10,8453.419921875,8395.2099609375,8453.419921875,8371.6796875,248400,0.24%
