,date,ixic_f,open,high,low,volume,ixic_f_cr
148,2022-07-28,12737.5,12580.0,12948.0,12449.0,645261,0.94%
149,2022-07-29,12971.5,12920.25,13012.0,12744.25,592416,1.84%
150,2022-08-01,12962.5,12981.0,13108.75,12851.75,622511,-0.07%
151,2022-08-02,12924.5,12974.25,13097.0,12814.75,674564,-0.29%
152,2022-08-03,13271.5,12921.0,13310.25,12867.25,690056,2.68%
153,2022-08-04,13327.0,13247.0,13356.0,13184.75,542680,0.42%
154,2022-08-05,13228.75,13327.25,13384.5,13085.0,687792,-0.74%
155,2022-08-08,13183.25,13227.75,13419.25,13120.5,597182,-0.34%
156,2022-08-09,13031.5,13206.25,13233.75,12963.25,553704,-1.15%
157,2022-08-10,13392.0,13050.0,13408.0,12982.0,602069,2.77%
158,2022-08-11,13311.25,13380.5,13575.0,13285.0,614816,-0.60%
159,2022-08-12,13577.75,13344.25,13583.25,13312.0,500647,2.00%
160,2022-08-15,13681.25,13571.5,13706.0,13495.25,463768,0.76%
161,2022-08-16,13658.25,13674.75,13740.75,13522.75,555979,-0.17%
162,2022-08-17,13493.25,13658.0,13672.0,13406.25,610667,-1.21%
163,2022-08-18,13523.25,13503.0,13575.5,13410.75,530513,0.22%
164,2022-08-19,13268.5,13534.25,13534.5,13228.75,618758,-1.88%
165,2022-08-22,12909.75,13226.5,13226.5,12874.5,599946,-2.70%
166,2022-08-23,12896.5,12933.75,13018.5,12823.5,570278,-0.10%
167,2022-08-24,12929.75,12892.0,13011.25,12825.75,503227,0.26%
168,2022-08-25,13156.0,12944.0,13161.5,12925.0,543666,1.75%
169,2022-08-26,12620.5,13153.75,13220.0,12557.5,753862,-4.07%
170,2022-08-29,12492.75,12485.0,12610.25,12401.5,693093,-1.01%
171,2022-08-30,12358.75,12503.5,12658.25,12247.5,797462,-1.07%
172,2022-08-31,12285.25,12366.0,12513.0,12276.25,672068,-0.59%
173,2022-09-01,12292.25,12284.75,12299.5,12017.75,820606,0.06%
174,2022-09-02,12104.25,12297.75,12461.5,12040.25,835870,-1.53%
175,2022-09-06,12019.0,12110.5,12244.5,11930.0,895450,-0.70%
176,2022-09-07,12263.25,12019.75,12306.25,11921.5,677159,2.03%
177,2022-09-08,12321.75,12267.75,12379.5,12115.75,737024,0.48%
178,2022-09-09,12592.5,12345.25,12613.75,12329.5,535984,2.20%
179,2022-09-12,12740.75,12626.0,12773.75,12573.25,444255,1.18%
180,2022-09-13,12036.5,12769.5,12889.0,12003.25,463841,-5.53%
181,2022-09-14,12142.0,12050.25,12173.0,12001.75,270232,0.88%
182,2022-09-15,11934.75,12159.0,12187.75,11866.5,169928,-1.71%
183,2022-09-16,11814.580078125,11880.0,11880.0,11750.5,754923,-1.01%
184,2022-09-19,12024.0,11920.0,12066.25,11792.25,632663,1.77%
185,2022-09-20,11922.25,12045.75,12092.5,11828.25,704882,-0.85%
186,2022-09-21,11710.0,11946.0,12140.5,11647.5,822965,-1.78%
187,2022-09-22,11565.5,11661.25,11796.0,11510.0,786180,-1.23%
188,2022-09-23,11376.75,11583.75,11600.25,11229.0,799378,-1.63%
189,2022-09-26,11316.25,11362.5,11537.75,11256.5,809853,-0.53%
190,2022-09-27,11333.75,11315.5,11568.25,11233.5,841073,0.15%
191,2022-09-28,11555.75,11361.0,11613.5,11141.5,897742,1.96%
192,2022-09-29,11228.25,11544.0,11567.25,11091.5,891823,-2.83%
193,2022-09-30,11035.5,11220.0,11357.25,11024.25,878168,-1.72%
194,2022-10-03,11285.75,11030.0,11358.25,10890.75,757581,2.27%
195,2022-10-04,11640.75,11314.5,11675.0,11281.5,772885,3.15%
196,2022-10-05,11623.75,11630.25,11711.0,11366.5,700889,-0.15%
197,2022-10-06,11541.75,11628.0,11729.75,11505.25,773914,-0.71%
198,2022-10-07,11101.5,11494.5,11564.5,11043.25,759141,-3.81%
199,2022-10-10,10984.5,11067.75,11136.5,10876.75,757732,-1.05%
200,2022-10-11,10845.0,10987.0,11039.5,10767.25,833906,-1.27%
201,2022-10-12,10840.5,10875.0,10976.75,10805.5,731214,-0.04%
202,2022-10-13,11083.75,10859.0,11142.75,10484.75,1050244,2.24%
203,2022-10-14,10744.0,11064.75,11253.5,10726.75,843525,-3.07%
204,2022-10-17,11110.25,10720.0,11146.25,10713.0,638720,3.41%
205,2022-10-18,11198.75,11161.25,11431.75,11081.5,832215,0.80%
206,2022-10-19,11153.25,11320.25,11382.75,11049.0,733776,-0.41%
207,2022-10-20,11090.75,11134.0,11328.75,11008.0,739672,-0.56%
208,2022-10-21,11358.5,11061.25,11386.25,10935.5,840952,2.41%
209,2022-10-24,11478.75,11393.75,11530.25,11207.75,715016,1.06%
210,2022-10-25,11713.5,11453.75,11734.0,11430.25,660210,2.05%
211,2022-10-26,11446.0,11510.0,11703.5,11415.0,784638,-2.28%
212,2022-10-27,11235.25,11417.75,11537.5,10921.5,769071,-1.84%
213,2022-10-28,11587.0,11122.75,11626.0,11062.0,728261,3.13%
214,2022-10-31,11447.25,11592.5,11595.0,11367.25,607680,-1.21%
215,2022-11-01,11332.0,11455.0,11619.0,11288.75,605362,-1.01%
216,2022-11-02,10944.5,11320.25,11460.0,10909.0,770983,-3.42%
217,2022-11-03,10728.0,10938.0,10996.0,10708.0,705050,-1.98%
218,2022-11-04,10890.25,10712.0,10974.25,10636.0,881129,1.51%
219,2022-11-07,11014.25,10786.5,11038.5,10751.0,554692,1.14%
220,2022-11-08,11094.25,11016.0,11231.25,10928.75,728868,0.73%
221,2022-11-09,10830.75,11089.25,11164.25,10822.25,669071,-2.38%
222,2022-11-10,11632.25,10841.0,11677.0,10808.0,862147,7.40%
223,2022-11-11,11848.0,11669.75,11876.75,11569.25,682257,1.85%
224,2022-11-14,11734.75,11791.0,11898.5,11702.0,576678,-0.96%
225,2022-11-15,11904.25,11768.5,12118.75,11761.75,771822,1.44%
226,2022-11-16,11739.5,11882.0,11963.0,11706.5,577864,-1.38%
227,2022-11-17,11710.5,11777.75,11827.5,11528.25,658469,-0.25%
228,2022-11-18,11708.0,11747.75,11843.0,11607.0,585873,-0.02%
229,2022-11-21,11588.0,11723.0,11756.0,11553.0,477970,-1.02%
230,2022-11-22,11754.5,11588.0,11759.25,11526.5,531087,1.44%
231,2022-11-23,11862.75,11741.5,11892.75,11720.0,474645,0.92%
232,2022-11-25,11782.75,11878.0,11933.0,11766.25,252366,-0.67%
233,2022-11-28,11616.25,11731.25,11788.5,11575.25,506250,-1.41%
234,2022-11-29,11524.75,11625.0,11704.5,11465.0,555859,-0.79%
235,2022-11-30,12042.25,11520.0,12078.5,11497.75,769082,4.49%
236,2022-12-01,12062.75,12079.25,12145.0,11943.25,629297,0.17%
237,2022-12-02,12010.25,12039.75,12067.75,11740.5,588295,-0.44%
238,2022-12-05,11805.75,12000.5,12015.75,11745.5,537924,-1.70%
239,2022-12-06,11566.0,11812.0,11846.25,11502.0,657271,-2.03%
240,2022-12-07,11509.5,11566.0,11596.25,11422.5,634691,-0.49%
241,2022-12-08,11645.5,11500.0,11685.75,11433.0,600826,1.18%
242,2022-12-09,11569.75,11641.5,11748.0,11517.0,504052,-0.65%
243,2022-12-12,11711.75,11553.0,11716.0,11522.75,354886,1.23%
244,2022-12-13,11839.75,11691.25,12229.5,11680.5,407612,1.09%
245,2022-12-14,11750.75,11839.0,11948.5,11613.75,197122,-0.75%
246,2022-12-15,11347.25,11758.75,11779.5,11298.25,182838,-3.43%
247,2022-12-16,11327.0400390625,11340.25,11381.25,11206.5,665526,-0.18%
248,2022-12-19,11193.25,11328.75,11411.0,11131.75,562529,-1.18%
249,2022-12-20,11175.75,11182.5,11247.0,11043.5,625090,-0.16%
250,2022-12-21,11334.5,11206.5,11389.75,11181.0,631322,1.42%
251,2022-12-22,11054.25,11357.0,11384.75,10870.5,714500,-2.47%
252,2022-12-23,11075.25,11061.0,11143.0,10916.25,534525,0.19%
253,2022-12-27,10915.5,11104.0,11183.75,10896.0,499799,-1.44%
254,2022-12-28,10772.75,10915.75,10996.5,10758.75,635572,-1.31%
255,2022-12-29,11032.75,10785.75,11071.5,10777.5,470004,2.41%
256,2022-12-30,11022.25,11033.5,11051.5,10855.5,462484,-0.10%
257,2023-01-03,10945.5,11122.5,11182.0,10844.75,657681,-0.70%
258,2023-01-04,10999.25,10941.25,11068.5,10863.5,758003,0.49%
259,2023-01-05,10820.25,10988.5,11046.75,10805.0,694452,-1.63%
260,2023-01-06,11113.5,10838.75,11165.75,10751.0,736332,2.71%
261,2023-01-09,11185.5,11126.5,11385.5,11120.25,646318,0.65%
262,2023-01-10,11282.0,11184.75,11288.75,11094.0,559281,0.86%
263,2023-01-11,11476.5,11282.5,11479.5,11239.75,500153,1.72%
264,2023-01-12,11534.25,11474.5,11579.75,11291.0,754571,0.50%
265,2023-01-13,11608.0,11528.5,11619.5,11389.0,482002,0.64%
266,2023-01-16,11564.0,11613.5,11638.75,11510.25,482002,-0.38%
267,2023-01-17,11624.5,11613.5,11685.0,11510.25,576141,0.52%
268,2023-01-18,11475.75,11619.75,11759.5,11468.0,619614,-1.28%
269,2023-01-19,11356.5,11470.5,11487.0,11308.5,594769,-1.04%
270,2023-01-20,11677.0,11401.0,11686.75,11365.25,577769,2.82%
271,2023-01-23,11934.0,11676.75,11983.0,11650.5,593978,2.20%
272,2023-01-24,11909.5,11933.0,12010.5,11835.75,511370,-0.21%
273,2023-01-25,11873.25,11970.5,11976.5,11604.5,633473,-0.30%
274,2023-01-26,12106.75,11874.75,12113.0,11867.25,621434,1.97%
275,2023-01-27,12222.25,12049.0,12308.5,12016.0,588072,0.95%
276,2023-01-30,11968.0,12212.5,12252.0,11960.0,634667,-2.08%
277,2023-01-31,12152.0,11984.0,12156.0,11871.0,585202,1.54%
278,2023-02-01,12414.25,12116.0,12524.5,12055.25,668515,2.16%
279,2023-02-02,12846.75,12520.0,12949.75,12501.75,817822,3.48%
280,2023-02-03,12624.0,12748.25,12878.0,12551.25,824209,-1.73%
281,2023-02-06,12515.5,12572.0,12608.5,12455.75,535147,-0.86%
282,2023-02-07,12776.75,12513.0,12818.5,12459.25,744996,2.09%
283,2023-02-08,12545.25,12747.0,12808.5,12512.75,590355,-1.81%
284,2023-02-09,12425.5,12555.0,12728.5,12366.5,612404,-0.95%
285,2023-02-10,12346.25,12448.75,12451.5,12243.25,600244,-0.64%
286,2023-02-13,12540.5,12357.5,12567.0,12265.25,467840,1.57%
287,2023-02-14,12631.0,12547.25,12687.0,12390.5,719204,0.72%
288,2023-02-15,12730.0,12620.75,12756.5,12524.25,568579,0.78%
289,2023-02-16,12482.5,12740.0,12792.75,12455.25,682325,-1.94%
290,2023-02-17,12390.0,12462.5,12466.25,12265.75,629355,-0.74%
291,2023-02-21,12096.75,12380.0,12417.75,12090.25,609494,-2.37%
292,2023-02-22,12097.5,12108.0,12190.5,12034.0,640711,0.01%
293,2023-02-23,12207.5,12176.25,12261.0,12028.5,640962,0.91%
294,2023-02-24,11997.0,12190.0,12214.5,11923.0,643618,-1.72%
295,2023-02-27,12083.25,12003.0,12189.5,11990.0,578952,0.72%
296,2023-02-28,12072.25,12093.5,12172.75,12025.75,646026,-0.09%
297,2023-03-01,11961.75,12041.25,12141.75,11924.75,759645,-0.92%
298,2023-03-02,12062.0,11967.0,12096.25,11832.5,752009,0.84%
299,2023-03-03,12311.25,12049.0,12329.0,12012.0,675472,2.07%
300,2023-03-06,12323.5,12306.25,12486.25,12276.25,612506,0.10%
301,2023-03-07,12169.0,12320.25,12381.25,12142.25,685006,-1.25%
302,2023-03-08,12228.25,12170.0,12254.5,12108.25,633419,0.49%
