,date,tsla,open,high,low,volume,tsla_cr
144,2022-07-25,268.4333190917969,272.2166748046875,274.14666748046875,267.3999938964844,64073400,-1.40%
145,2022-07-26,258.8599853515625,266.5133361816406,267.30999755859375,256.2633361816406,66820800,-3.57%
146,2022-07-27,274.82000732421875,263.80999755859375,275.9266662597656,261.7900085449219,88110000,6.17%
147,2022-07-28,280.8999938964844,280.0666809082031,283.29998779296875,272.79998779296875,84723000,2.21%
148,2022-07-29,297.1499938964844,280.70001220703125,298.32000732421875,279.1000061035156,95313000,5.78%
149,2022-08-01,297.27667236328125,301.27667236328125,311.8766784667969,295.0,117042900,0.04%
150,2022-08-02,300.586669921875,294.0033264160156,307.8333435058594,292.6666564941406,95577600,1.11%
151,2022-08-03,307.39666748046875,305.0,309.54998779296875,301.1499938964844,80091000,2.27%
152,2022-08-04,308.6333312988281,311.0,313.6066589355469,305.0,72256200,0.40%
153,2022-08-05,288.1700134277344,302.6700134277344,304.6066589355469,285.5433349609375,113172900,-6.63%
154,2022-08-08,290.42333984375,295.0,305.20001220703125,289.086669921875,98994000,0.78%
155,2022-08-09,283.3333435058594,290.2933349609375,292.39666748046875,279.35333251953125,86244600,-2.44%
156,2022-08-10,294.3566589355469,297.0666809082031,297.510009765625,283.3699951171875,94918800,3.89%
157,2022-08-11,286.6300048828125,296.5133361816406,298.2366638183594,285.8333435058594,70155000,-2.62%
158,2022-08-12,300.0299987792969,289.4166564941406,300.1600036621094,285.0333251953125,79657200,4.68%
159,2022-08-15,309.32000732421875,301.78668212890625,313.1333312988281,301.2300109863281,89359200,3.10%
160,2022-08-16,306.5633239746094,311.6666564941406,314.6666564941406,302.8833312988281,88136400,-0.89%
161,2022-08-17,303.9966735839844,303.39666748046875,309.65667724609375,300.0333251953125,68766000,-0.84%
162,2022-08-18,302.8699951171875,306.0,306.5,301.85333251953125,47500500,-0.37%
163,2022-08-19,296.6666564941406,299.0,300.3599853515625,292.5,61395300,-2.05%
164,2022-08-22,289.913330078125,291.913330078125,292.3999938964844,286.2966613769531,55843200,-2.28%
165,2022-08-23,296.4533386230469,291.4533386230469,298.82666015625,287.92333984375,63984900,2.26%
166,2022-08-24,297.0966796875,297.5633239746094,303.64666748046875,296.5,57259800,0.22%
167,2022-08-25,296.07000732421875,302.3599853515625,302.9599914550781,291.6000061035156,53230000,-0.35%
168,2022-08-26,288.0899963378906,297.42999267578125,302.0,287.4700012207031,57163900,-2.70%
169,2022-08-29,284.82000732421875,282.8299865722656,287.739990234375,280.70001220703125,41864700,-1.14%
170,2022-08-30,277.70001220703125,287.8699951171875,288.4800109863281,272.6499938964844,50541800,-2.50%
171,2022-08-31,275.6099853515625,280.6199951171875,281.25,271.80999755859375,52107300,-0.75%
172,2022-09-01,277.1600036621094,272.5799865722656,277.5799865722656,266.1499938964844,54287000,0.56%
173,2022-09-02,270.2099914550781,281.07000732421875,282.3500061035156,269.0799865722656,50890100,-2.51%
174,2022-09-06,274.4200134277344,272.67999267578125,275.989990234375,265.739990234375,55860000,1.56%
175,2022-09-07,283.70001220703125,273.1000061035156,283.8399963378906,272.2699890136719,50028900,3.38%
176,2022-09-08,289.260009765625,281.29998779296875,289.5,279.760009765625,53713100,1.96%
177,2022-09-09,299.67999267578125,291.6700134277344,299.8500061035156,291.25,54338100,3.60%
178,2022-09-12,304.4200134277344,300.7200012207031,305.489990234375,300.3999938964844,48674600,1.58%
179,2022-09-13,292.1300048828125,292.8999938964844,297.3999938964844,290.3999938964844,68229600,-4.04%
180,2022-09-14,302.6099853515625,292.239990234375,306.0,291.6400146484375,72628700,3.59%
181,2022-09-15,303.75,301.8299865722656,309.1199951171875,300.7200012207031,64795500,0.38%
182,2022-09-16,303.3500061035156,299.6099853515625,303.7099914550781,295.6000061035156,87087800,-0.13%
183,2022-09-19,309.07000732421875,300.0899963378906,309.8399963378906,297.79998779296875,60231200,1.89%
184,2022-09-20,308.7300109863281,306.9100036621094,313.3299865722656,305.5799865722656,61642800,-0.11%
185,2022-09-21,300.79998779296875,308.2900085449219,313.79998779296875,300.6300048828125,62555700,-2.57%
186,2022-09-22,288.5899963378906,299.8599853515625,301.2900085449219,285.82000732421875,70545400,-4.06%
187,2022-09-23,275.3299865722656,283.0899963378906,284.5,272.82000732421875,63748400,-4.59%
188,2022-09-26,276.010009765625,271.8299865722656,284.0899963378906,270.30999755859375,58076900,0.25%
189,2022-09-27,282.94000244140625,283.8399963378906,288.6700134277344,277.510009765625,61925200,2.51%
190,2022-09-28,287.80999755859375,283.0799865722656,289.0,277.57000732421875,54664800,1.72%
191,2022-09-29,268.2099914550781,282.760009765625,283.6499938964844,265.7799987792969,77620600,-6.81%
192,2022-09-30,265.25,266.1499938964844,275.57000732421875,262.4700012207031,67726600,-1.10%
193,2022-10-03,242.39999389648438,254.5,255.16000366210938,241.00999450683594,98363500,-8.61%
194,2022-10-04,249.44000244140625,250.52000427246094,257.5,242.00999450683594,109578500,2.90%
195,2022-10-05,240.80999755859375,245.00999450683594,246.6699981689453,233.27000427246094,86982700,-3.46%
196,2022-10-06,238.1300048828125,239.44000244140625,244.5800018310547,235.35000610351562,69298400,-1.11%
197,2022-10-07,223.07000732421875,233.94000244140625,234.57000732421875,222.02000427246094,83916800,-6.32%
198,2022-10-10,222.9600067138672,223.92999267578125,226.99000549316406,218.36000061035156,67925000,-0.05%
199,2022-10-11,216.5,220.9499969482422,225.75,215.0,77013200,-2.90%
200,2022-10-12,217.24000549316406,215.3300018310547,219.3000030517578,211.50999450683594,66860700,0.34%
201,2022-10-13,221.72000122070312,208.3000030517578,222.99000549316406,206.22000122070312,91483000,2.06%
202,2022-10-14,204.99000549316406,224.00999450683594,226.25999450683594,204.16000366210938,94124500,-7.55%
203,2022-10-17,219.35000610351562,210.0399932861328,221.86000061035156,209.4499969482422,79428800,7.01%
204,2022-10-18,220.19000244140625,229.5,229.82000732421875,217.25,75891900,0.38%
205,2022-10-19,222.0399932861328,219.8000030517578,222.92999267578125,217.77999877929688,66571500,0.84%
206,2022-10-20,207.27999877929688,208.27999877929688,215.5500030517578,202.0,117798100,-6.65%
207,2022-10-21,214.44000244140625,206.4199981689453,214.66000366210938,203.8000030517578,75713800,3.45%
208,2022-10-24,211.25,205.82000732421875,213.5,198.58999633789062,100446800,-1.49%
209,2022-10-25,222.4199981689453,210.10000610351562,224.35000610351562,210.0,96507900,5.29%
210,2022-10-26,224.63999938964844,219.39999389648438,230.60000610351562,218.1999969482422,85012500,1.00%
211,2022-10-27,225.08999633789062,229.77000427246094,233.80999755859375,222.85000610351562,61638800,0.20%
212,2022-10-28,228.52000427246094,225.39999389648438,228.86000061035156,216.35000610351562,69152400,1.52%
213,2022-10-31,227.5399932861328,226.19000244140625,229.85000610351562,221.94000244140625,61554300,-0.43%
214,2022-11-01,227.82000732421875,234.0500030517578,237.39999389648438,227.27999877929688,62688800,0.12%
215,2022-11-02,214.97999572753906,226.0399932861328,227.8699951171875,214.82000732421875,63070300,-5.64%
216,2022-11-03,215.30999755859375,211.36000061035156,221.1999969482422,210.13999938964844,56538800,0.15%
217,2022-11-04,207.47000122070312,222.60000610351562,223.8000030517578,203.0800018310547,98622200,-3.64%
218,2022-11-07,197.0800018310547,208.64999389648438,208.89999389648438,196.66000366210938,93916500,-5.01%
219,2022-11-08,191.3000030517578,194.02000427246094,195.1999969482422,186.75,128803400,-2.93%
220,2022-11-09,177.58999633789062,190.77999877929688,195.88999938964844,177.1199951171875,127062700,-7.17%
221,2022-11-10,190.72000122070312,189.89999389648438,191.0,180.02999877929688,132703000,7.39%
222,2022-11-11,195.97000122070312,186.0,196.52000427246094,182.58999633789062,114403600,2.75%
223,2022-11-14,190.9499969482422,192.77000427246094,195.72999572753906,186.33999633789062,92226600,-2.56%
224,2022-11-15,194.4199981689453,195.8800048828125,200.82000732421875,192.05999755859375,91293800,1.82%
225,2022-11-16,186.9199981689453,191.50999450683594,192.57000732421875,185.66000366210938,66567600,-3.86%
226,2022-11-17,183.1699981689453,183.9600067138672,186.16000366210938,180.89999389648438,64336000,-2.01%
227,2022-11-18,180.19000244140625,185.0500030517578,185.19000244140625,176.5500030517578,76048900,-1.63%
228,2022-11-21,167.8699951171875,175.85000610351562,176.77000427246094,167.5399932861328,92882700,-6.84%
229,2022-11-22,169.91000366210938,168.6300048828125,170.9199981689453,166.19000244140625,78452300,1.22%
230,2022-11-23,183.1999969482422,173.57000732421875,183.6199951171875,172.5,109536700,7.82%
231,2022-11-25,182.86000061035156,185.05999755859375,185.1999969482422,180.6300048828125,50672700,-0.19%
232,2022-11-28,182.9199981689453,179.9600067138672,188.5,179.0,92905200,0.03%
233,2022-11-29,180.8300018310547,184.99000549316406,186.3800048828125,178.75,83357100,-1.14%
234,2022-11-30,194.6999969482422,182.42999267578125,194.75999450683594,180.6300048828125,109186400,7.67%
235,2022-12-01,194.6999969482422,197.0800018310547,198.9199981689453,191.8000030517578,80046200,0.00%
236,2022-12-02,194.86000061035156,191.77999877929688,196.25,191.11000061035156,73645900,0.08%
237,2022-12-05,182.4499969482422,189.44000244140625,191.27000427246094,180.5500030517578,93122700,-6.37%
238,2022-12-06,179.82000732421875,181.22000122070312,183.64999389648438,175.3300018310547,92150800,-1.44%
239,2022-12-07,174.0399932861328,175.02999877929688,179.3800048828125,172.22000122070312,84213300,-3.21%
240,2022-12-08,173.44000244140625,172.1999969482422,175.1999969482422,169.05999755859375,97624500,-0.34%
241,2022-12-09,179.0500030517578,173.83999633789062,182.5,173.36000061035156,104872300,3.23%
242,2022-12-12,167.82000732421875,176.10000610351562,177.3699951171875,167.52000427246094,109794500,-6.27%
243,2022-12-13,160.9499969482422,174.8699951171875,175.0500030517578,156.91000366210938,175862700,-4.09%
244,2022-12-14,156.8000030517578,159.25,161.6199951171875,155.30999755859375,140682300,-2.58%
245,2022-12-15,157.6699981689453,153.44000244140625,160.92999267578125,153.27999877929688,122334500,0.55%
246,2022-12-16,150.22999572753906,159.63999938964844,160.99000549316406,150.0399932861328,139032200,-4.72%
247,2022-12-19,149.8699951171875,154.0,155.25,145.82000732421875,139390600,-0.24%
248,2022-12-20,137.8000030517578,146.0500030517578,148.47000122070312,137.66000366210938,159563300,-8.05%
249,2022-12-21,137.57000732421875,139.33999633789062,141.25999450683594,135.88999938964844,145417400,-0.17%
250,2022-12-22,125.3499984741211,136.0,136.6300048828125,122.26000213623047,210090300,-8.88%
251,2022-12-23,123.1500015258789,126.37000274658203,128.6199951171875,121.0199966430664,166989700,-1.76%
252,2022-12-27,109.0999984741211,117.5,119.66999816894531,108.76000213623047,208643400,-11.41%
253,2022-12-28,112.70999908447266,110.3499984741211,116.2699966430664,108.23999786376953,221070500,3.31%
254,2022-12-29,121.81999969482422,120.38999938964844,123.56999969482422,117.5,221923300,8.08%
255,2022-12-30,123.18000030517578,119.94999694824219,124.4800033569336,119.75,157777300,1.12%
256,2023-01-03,108.0999984741211,118.47000122070312,118.80000305175781,104.63999938964844,231402800,-12.24%
257,2023-01-04,113.63999938964844,109.11000061035156,114.58999633789062,107.5199966430664,180389000,5.12%
258,2023-01-05,110.33999633789062,110.51000213623047,111.75,107.16000366210938,157986300,-2.90%
259,2023-01-06,113.05999755859375,103.0,114.38999938964844,101.80999755859375,220911100,2.47%
260,2023-01-09,119.7699966430664,118.95999908447266,123.5199966430664,117.11000061035156,190284000,5.93%
261,2023-01-10,118.8499984741211,121.06999969482422,122.76000213623047,114.91999816894531,167642500,-0.77%
262,2023-01-11,123.22000122070312,122.08999633789062,125.94999694824219,120.51000213623047,183810800,3.68%
263,2023-01-12,123.55999755859375,122.55999755859375,124.12999725341797,117.0,169400900,0.28%
264,2023-01-13,122.4000015258789,116.55000305175781,122.62999725341797,115.5999984741211,180714100,-0.94%
265,2023-01-17,131.49000549316406,125.69999694824219,131.6999969482422,125.0199966430664,186477000,7.43%
266,2023-01-18,128.77999877929688,136.55999755859375,136.67999267578125,127.01000213623047,195680300,-2.06%
267,2023-01-19,127.16999816894531,127.26000213623047,129.99000549316406,124.30999755859375,170291900,-1.25%
268,2023-01-20,133.4199981689453,128.67999267578125,133.50999450683594,127.3499984741211,138858100,4.91%
269,2023-01-23,143.75,135.8699951171875,145.3800048828125,134.27000427246094,203119200,7.74%
270,2023-01-24,143.88999938964844,143.0,146.5,141.10000610351562,158699100,0.10%
271,2023-01-25,144.42999267578125,141.91000366210938,146.41000366210938,138.07000732421875,192734300,0.38%
272,2023-01-26,160.27000427246094,159.97000122070312,161.4199981689453,154.75999450683594,234815100,10.97%
273,2023-01-27,177.89999389648438,162.42999267578125,180.67999267578125,161.1699981689453,306590600,11.00%
274,2023-01-30,166.66000366210938,178.0500030517578,179.77000427246094,166.5,230878800,-6.32%
275,2023-01-31,173.22000122070312,164.57000732421875,174.3000030517578,162.77999877929688,196813500,3.94%
276,2023-02-01,181.41000366210938,173.88999938964844,183.80999755859375,169.92999267578125,213806300,4.73%
277,2023-02-02,188.27000427246094,187.3300018310547,196.75,182.61000061035156,217448300,3.78%
278,2023-02-03,189.97999572753906,183.9499969482422,199.0,183.69000244140625,232662000,0.91%
279,2023-02-06,194.75999450683594,193.00999450683594,198.1699981689453,189.9199981689453,186188100,2.52%
280,2023-02-07,196.80999755859375,196.42999267578125,197.5,189.5500030517578,186010300,1.05%
