,date,dji_f,open,high,low,volume,dji_f_cr
125,2022-06-24,31487.0,30568.0,31508.0,30538.0,139775,2.66%
126,2022-06-27,31421.0,31466.0,31695.0,31331.0,125464,-0.21%
127,2022-06-28,30933.0,31464.0,31867.0,30905.0,164024,-1.55%
128,2022-06-29,30999.0,30966.0,31142.0,30861.0,147968,0.21%
129,2022-06-30,30781.0,31021.0,31034.0,30406.0,186268,-0.70%
130,2022-07-01,31061.0,30720.0,31116.0,30422.0,180467,0.91%
131,2022-07-05,30936.0,31051.0,31220.0,30331.0,213590,-0.40%
132,2022-07-06,31013.0,30958.0,31206.0,30739.0,169287,0.25%
133,2022-07-07,31367.0,31054.0,31404.0,30898.0,123735,1.14%
134,2022-07-08,31310.0,31309.0,31490.0,31187.0,146486,-0.18%
135,2022-07-11,31140.0,31323.0,31344.0,31040.0,130932,-0.54%
136,2022-07-12,30966.0,31177.0,31328.0,30828.0,148977,-0.56%
137,2022-07-13,30758.0,30968.0,31309.0,30475.0,198516,-0.67%
138,2022-07-14,30604.0,30700.0,30774.0,30109.0,172967,-0.50%
139,2022-07-15,31247.0,30633.0,31264.0,30495.0,190105,2.10%
140,2022-07-18,31047.0,31298.0,31614.0,30947.0,147514,-0.64%
141,2022-07-19,31791.0,31064.0,31844.0,31031.0,143737,2.40%
142,2022-07-20,31853.0,31809.0,31980.0,31621.0,153532,0.20%
143,2022-07-21,32007.0,31791.0,32032.0,31504.0,158137,0.48%
144,2022-07-22,31875.0,31982.0,32193.0,31704.0,155954,-0.41%
145,2022-07-25,31967.0,31872.0,32065.0,31773.0,137103,0.29%
146,2022-07-26,31732.0,31840.0,31916.0,31665.0,166357,-0.74%
147,2022-07-27,32172.0,31762.0,32315.0,31761.0,210158,1.39%
148,2022-07-28,32490.0,32144.0,32609.0,31944.0,206840,0.99%
149,2022-07-29,32825.0,32567.0,32887.0,32458.0,162738,1.03%
150,2022-08-01,32767.0,32827.0,32938.0,32602.0,191675,-0.18%
151,2022-08-02,32365.0,32766.0,32781.0,32350.0,228064,-1.23%
